ENCODED_MI,sotzio
16789,9
5279,8
5280,3
5288,4
5312,4
1570,7
5319,9
25146,8
5326,8
19733,7
26872,4
19199,7
10686,8
5359,6
25167,7
25124,4
17193,9
12470,7
21947,7
13687,7
25117,9
12466,5
5381,9
12462,8
1543,3
1542,9
1541,7
1540,4
1539,4
12471,9
1538,8
5271,9
5268,8
5114,6
5117,9
5132,8
13660,7
1619,8
5133,9
25220,4
5156,4
5160,9
5163,8
5166,7
5167,4
21917,7
21939,7
21918,7
17269,5
5183,7
5186,7
5189,7
5190,8
18470,8
5202,4
17246,9
26861,5
21369,4
5249,7
5260,8
21367,9
25211,7
19753,8
14766,9
21952,8
21987,7
19773,7
1481,5
5571,9
17136,3
1474,6
1473,7
19793,9
18501,4
1468,8
5624,6
12379,5
26922,3
1484,9
12376,8
17099,6
5664,8
1453,7
12360,3
14793,5
1448,6
21995,10
1444,8
12351,6
5695,8
12346,9
12345,8
19805,8
24990,4
21349,8
21986,7
1487,4
12453,4
21954,7
21955,7
17176,9
1528,8
12445,8
1525,5
21958,7
12439,7
1521,8
21967,6
14771,9
17166,9
21968,8
21969,7
21973,7
5465,7
5467,3
21974,4
1509,8
26900,8
17157,4
14776,7
14777,8
21352,8
1495,7
21982,7
5528,7
21983,4
26835,8
17078,6
21915,7
13655,7
1748,7
17385,5
13621,7
26783,8
1741,4
21395,2
26785,9
21393,7
4818,9
4821,9
1734,7
1733,3
4829,8
12643,5
1731,7
4836,9
13627,9
19676,9
1723,7
1722,8
19218,7
1720,4
1719,7
4859,7
1714,7
1713,9
1712,6
1708,7
4833,9
4905,8
4800,0
4791,7
14686,7
4667,9
4669,5
4678,8
4682,7
13608,10
12676,6
26756,7
19665,7
4712,9
25450,7
19231,8
4721,7
19224,5
21862,9
20910,9
1769,8
17396,7
26773,3
21401,9
26775,7
4770,8
26776,7
1758,9
25429,7
17390,8
1754,9
4789,6
17404,9
4914,7
1702,9
26803,4
13644,7
5006,8
5008,9
26827,8
1660,8
5012,8
18454,3
5024,8
5026,9
17318,7
5039,8
5042,8
13649,7
21381,7
25306,4
5056,7
21907,8
21908,6
21912,8
14737,8
5082,8
25273,8
5090,3
5091,7
5093,7
14739,8
5106,6
13654,5
5048,8
4998,4
1668,9
13640,7
1700,9
1699,2
1698,9
4923,3
1696,9
1695,4
4939,8
4942,9
1692,6
1691,7
1690,4
4949,8
4956,7
4957,8
1686,8
13636,6
4976,9
4978,8
4980,4
17336,7
1678,9
17333,9
13637,2
18450,7
4993,8
1673,8
4995,4
13639,7
4997,9
5109,7
21407,9
21997,4
1427,8
1173,9
20818,9
18601,7
16688,0
11976,9
6823,9
24448,9
6838,7
6842,3
1155,10
1154,10
6851,7
24437,7
19972,4
1147,6
6885,4
19979,5
21295,9
6894,9
1138,10
1137,7
24423,3
6913,9
19982,4
6916,8
19986,6
1130,8
6929,8
22158,8
22175,6
19963,4
6744,8
6597,5
14904,6
24547,9
6607,7
24529,7
6630,7
20831,7
24522,4
6648,8
16746,9
16733,8
16727,9
19945,5
13803,7
21305,8
24504,8
14927,8
1194,7
6714,9
1192,8
13798,8
1189,8
19959,8
12015,7
1185,7
6732,8
12012,7
19961,4
24509,9
24407,8
1122,8
20802,4
7172,7
24303,6
1072,10
7192,8
27117,8
7197,9
1068,9
11844,8
7202,8
7206,7
11842,9
1060,7
1059,9
7169,7
7213,9
7224,7
20031,4
1054,8
1053,7
16551,7
11826,7
1048,1
16543,4
11808,9
13855,4
7306,9
11801,7
24239,7
24296,6
11865,8
11866,7
7146,9
6965,9
6973,8
24396,8
19157,8
18631,7
1113,8
20801,9
24380,9
11910,8
11901,9
7039,8
11897,7
7062,9
