קוד יישוב,קוד נפה,סוציו
0,0,8.0
1,1,4.0
2,2,7.0
3,3,5.0
4,2,7.0
5,4,7.0
6,5,5.0
7,3,7.0
8,6,9.0
9,2,5.0
10,7,8.0
11,8,7.0
12,4,7.0
13,0,9.0
14,9,8.0
15,6,7.0
16,10,8.0
17,11,6.0
18,9,9.0
19,9,7.0
20,2,7.0
21,12,6.0
22,3,6.0
23,13,5.0
24,5,3.0
25,14,9.0
26,9,8.0
27,15,4.0
28,13,8.0
29,2,5.0
30,16,7.0
31,8,5.0
32,16,6.0
33,16,9.0
34,12,6.0
35,5,9.0
36,2,7.0
37,9,8.0
38,17,8.0
39,5,9.0
40,9,9.0
41,4,9.0
42,16,8.0
43,16,9.0
44,16,9.0
45,12,4.0
46,18,9.0
47,3,8.0
48,11,5.0
49,11,10.0
50,19,7.0
51,20,6.0
52,7,9.0
53,19,6.0
54,5,8.0
55,1,4.0
56,11,10.0
57,4,7.0
58,13,9.0
59,12,5.0
60,21,9.0
61,4,7.0
62,9,7.0
63,12,8.0
64,9,9.0
65,14,9.0
66,20,7.0
67,12,9.0
68,5,5.0
69,9,9.0
70,1,7.0
71,4,7.0
72,4,9.0
73,16,9.0
74,11,4.0
75,12,8.0
76,3,7.0
77,12,4.0
78,6,8.0
79,5,8.0
80,9,8.0
81,2,10.0
82,11,3.0
83,3,8.0
84,5,7.0
85,17,7.0
86,21,7.0
87,4,9.0
88,16,7.0
89,16,7.0
90,7,9.0
91,13,9.0
92,16,9.0
93,12,4.0
94,5,9.0
95,13,6.0
96,16,9.0
97,20,9.0
98,17,7.0
99,14,7.0
100,13,7.0
101,6,4.0
102,14,7.0
103,20,10.0
104,17,6.0
105,6,5.0
106,6,4.0
107,5,2.0
108,22,9.0
109,11,9.0
110,14,9.0
111,14,4.0
112,11,9.0
113,13,4.0
114,11,6.0
115,20,8.0
116,16,9.0
117,20,6.0
118,11,7.0
119,9,9.0
120,16,7.0
121,20,5.0
122,3,5.0
123,3,9.0
124,18,0.0
125,17,9.0
126,12,4.0
127,11,7.0
128,12,7.0
129,11,4.0
130,14,4.0
131,13,9.0
132,3,7.0
133,13,9.0
134,11,6.0
135,13,7.0
136,4,9.0
137,14,7.0
138,9,9.0
139,9,9.0
140,13,8.0
141,4,9.0
142,11,4.0
143,20,6.0
144,2,3.0
145,7,5.0
146,16,9.0
147,3,9.0
148,20,4.0
149,23,3.0
150,22,3.0
151,5,9.0
152,1,2.0
153,16,9.0
154,3,6.0
155,12,4.0
156,11,4.0
157,16,8.0
158,6,7.0
159,6,5.0
160,21,4.0
161,9,9.0
162,2,6.0
163,20,9.0
164,20,8.0
165,20,9.0
166,3,9.0
167,16,9.0
168,13,10.0
169,9,9.0
170,2,9.0
171,12,7.0
172,3,7.0
173,21,8.0
174,12,8.0
175,20,10.0
176,6,9.0
177,13,6.0
178,8,7.0
179,20,5.0
180,16,9.0
181,21,3.0
182,23,4.0
183,19,7.0
184,19,7.0
185,13,6.0
186,12,8.0
187,20,9.0
188,9,9.0
189,19,7.0
190,17,6.0
191,12,8.0
192,16,8.0
193,16,7.0
194,13,8.0
195,3,8.0
196,20,7.0
197,14,9.0
198,13,4.0
199,9,7.0
200,13,4.0
201,6,7.0
202,16,9.0
203,12,6.0
204,16,9.0
205,9,7.0
206,19,4.0
207,21,7.0
208,12,8.0
209,16,7.0
210,11,3.0
211,3,9.0
212,11,7.0
213,13,7.0
214,1,4.0
215,4,5.0
216,14,7.0
217,16,6.0
218,0,8.0
219,16,9.0
220,21,4.0
221,19,6.0
222,12,9.0
223,21,7.0
224,14,10.0
225,12,8.0
226,11,9.0
227,18,7.0
228,21,8.0
229,16,9.0
230,5,9.0
231,20,9.0
232,4,9.0
233,5,4.0
234,9,8.0
235,20,10.0
236,12,9.0
237,11,2.0
238,3,7.0
239,11,6.0
240,24,5.0
241,22,0.0
242,12,9.0
243,1,5.0
244,11,9.0
245,20,8.0
246,12,6.0
247,20,9.0
248,12,9.0
249,7,2.0
250,22,7.0
251,3,8.0
252,13,9.0
253,4,8.0
254,23,7.0
255,20,9.0
256,13,7.0
257,6,8.0
258,20,5.0
259,12,9.0
260,11,5.0
261,12,4.0
262,12,9.0
263,13,5.0
264,4,5.0
265,6,7.0
266,20,7.0
267,14,7.0
268,20,9.0
269,13,9.0
270,1,7.0
271,13,7.0
272,11,7.0
273,20,7.0
274,5,7.0
275,16,8.0
276,11,9.0
277,13,8.0
278,3,10.0
279,20,6.0
280,16,4.0
281,13,7.0
282,14,7.0
283,1,7.0
284,11,8.0
285,16,9.0
286,20,9.0
287,14,9.0
288,16,6.0
289,14,7.0
290,12,9.0
291,12,6.0
292,16,7.0
293,12,9.0
294,13,9.0
295,20,8.0
296,20,8.0
297,20,7.0
298,14,5.0
299,13,7.0
300,1,7.0
301,9,4.0
302,16,7.0
303,5,7.0
304,4,9.0
305,9,9.0
306,22,7.0
307,21,8.0
308,21,2.0
309,9,9.0
310,1,5.0
311,13,7.0
312,5,8.0
313,12,8.0
314,13,7.0
315,12,6.0
316,4,5.0
317,5,9.0
318,13,3.0
319,2,6.0
320,12,9.0
321,5,6.0
322,5,7.0
323,13,4.0
324,11,4.0
325,9,10.0
326,16,7.0
327,14,9.0
328,20,8.0
329,25,0.0
330,5,7.0
331,16,9.0
332,20,7.0
333,5,7.0
334,11,7.0
335,20,8.0
336,3,8.0
337,12,6.0
338,22,7.0
339,9,9.0
340,21,5.0
341,23,9.0
342,20,9.0
343,13,10.0
344,3,8.0
345,16,9.0
346,5,9.0
347,9,9.0
348,3,7.0
349,16,9.0
350,16,5.0
351,1,7.0
352,16,7.0
353,4,7.0
354,16,8.0
355,11,7.0
356,9,10.0
357,13,3.0
358,16,9.0
359,1,7.0
360,20,7.0
361,5,8.0
362,11,7.0
363,21,7.0
364,20,7.0
365,11,6.0
366,3,3.0
367,20,4.0
368,3,6.0
369,13,7.0
370,25,5.0
371,3,9.0
372,12,5.0
373,14,9.0
374,9,8.0
375,11,0.0
376,23,5.0
377,3,8.0
378,11,4.0
379,13,5.0
380,25,0.0
381,25,4.0
382,4,2.0
383,9,4.0
384,12,4.0
385,14,9.0
386,1,6.0
387,16,9.0
388,21,7.0
389,12,7.0
390,20,7.0
391,3,9.0
392,16,9.0
393,17,8.0
394,5,9.0
395,6,6.0
396,11,5.0
397,5,7.0
398,13,6.0
399,13,7.0
400,16,9.0
401,22,7.0
402,13,6.0
403,12,8.0
404,3,8.0
405,11,7.0
406,25,7.0
407,12,8.0
408,20,8.0
409,4,9.0
410,11,3.0
411,11,5.0
412,16,9.0
413,16,9.0
414,11,6.0
415,14,7.0
416,11,7.0
417,12,8.0
418,20,9.0
419,15,3.0
420,9,9.0
421,12,8.0
422,19,7.0
423,4,9.0
424,5,9.0
425,23,6.0
426,20,9.0
427,20,8.0
428,12,7.0
429,5,9.0
430,25,3.0
431,9,8.0
432,14,8.0
433,20,9.0
434,2,4.0
435,1,6.0
436,21,5.0
437,3,7.0
438,12,6.0
439,16,8.0
440,12,5.0
441,12,9.0
442,22,4.0
443,12,8.0
444,5,8.0
445,12,9.0
446,12,8.0
447,9,9.0
448,1,7.0
449,9,7.0
450,22,8.0
451,16,9.0
452,16,9.0
453,5,6.0
454,3,7.0
455,5,7.0
456,13,8.0
457,5,8.0
458,13,7.0
459,11,6.0
460,26,7.0
461,13,5.0
462,11,3.0
463,9,7.0
464,20,10.0
465,13,9.0
466,11,5.0
467,16,6.0
468,14,9.0
469,1,8.0
470,14,7.0
471,11,4.0
472,12,8.0
473,16,8.0
474,14,7.0
475,3,4.0
476,14,9.0
477,11,3.0
478,14,9.0
479,3,9.0
480,13,5.0
481,13,7.0
482,19,5.0
483,5,7.0
484,11,5.0
485,25,4.0
486,9,8.0
487,20,7.0
488,11,9.0
489,13,7.0
490,12,7.0
491,9,9.0
492,22,7.0
493,9,8.0
494,11,9.0
495,13,9.0
496,17,5.0
497,4,8.0
498,12,8.0
499,11,8.0
500,23,9.0
501,16,7.0
502,16,7.0
503,1,4.0
504,13,7.0
505,13,9.0
506,12,8.0
507,13,7.0
508,3,4.0
509,16,9.0
510,21,4.0
511,3,3.0
512,20,7.0
513,16,8.0
514,11,7.0
515,17,7.0
516,17,6.0
517,11,7.0
518,20,9.0
519,20,4.0
520,20,8.0
521,13,9.0
522,4,9.0
523,9,7.0
524,4,6.0
525,21,4.0
526,20,8.0
527,12,4.0
528,14,7.0
529,22,5.0
530,20,6.0
531,20,7.0
532,26,5.0
533,1,8.0
534,12,5.0
535,11,6.0
536,16,9.0
537,20,6.0
538,22,6.0
539,11,8.0
540,21,8.0
541,13,8.0
542,1,8.0
543,18,3.0
544,20,9.0
545,14,9.0
546,13,7.0
547,16,5.0
548,13,6.0
549,11,7.0
550,13,8.0
551,20,6.0
552,11,7.0
553,4,9.0
554,6,7.0
555,14,9.0
556,27,0.0
557,13,6.0
558,14,6.0
559,16,8.0
560,13,3.0
561,5,9.0
562,11,9.0
563,23,8.0
564,12,7.0
565,16,10.0
566,11,4.0
567,11,7.0
568,22,3.0
569,12,7.0
570,21,8.0
571,12,8.0
572,12,8.0
573,13,7.0
574,16,9.0
575,22,6.0
576,17,6.0
577,4,6.0
578,14,9.0
579,12,8.0
580,13,6.0
581,11,6.0
582,12,7.0
583,6,6.0
584,9,9.0
585,11,9.0
586,13,3.0
587,1,7.0
588,22,7.0
589,13,9.0
590,11,6.0
591,4,8.0
592,14,6.0
593,13,7.0
594,19,5.0
595,13,7.0
596,22,6.0
597,14,4.0
598,22,7.0
599,4,6.0
600,11,7.0
601,16,7.0
602,12,7.0
603,17,8.0
604,16,9.0
605,11,4.0
606,11,3.0
607,13,7.0
608,11,8.0
609,16,3.0
610,5,9.0
611,12,7.0
612,17,9.0
613,19,6.0
614,12,6.0
615,14,8.0
616,11,5.0
617,20,9.0
618,13,9.0
619,11,7.0
620,12,9.0
621,20,6.0
622,9,7.0
623,20,8.0
624,1,7.0
625,3,9.0
626,25,5.0
627,12,9.0
628,20,8.0
629,13,9.0
630,13,9.0
631,20,9.0
632,25,5.0
633,9,7.0
634,22,6.0
635,21,0.0
636,13,6.0
637,1,2.0
638,13,9.0
639,12,8.0
640,12,8.0
641,11,8.0
642,1,7.0
643,1,5.0
644,13,8.0
645,12,7.0
646,12,9.0
647,4,7.0
648,9,7.0
649,16,0.0
650,13,4.0
651,1,5.0
652,11,8.0
653,3,9.0
654,5,6.0
655,11,4.0
656,11,4.0
657,9,7.0
658,16,9.0
659,13,4.0
660,22,4.0
661,16,5.0
662,13,7.0
663,16,9.0
664,13,7.0
665,9,9.0
666,13,9.0
667,11,0.0
668,20,9.0
669,1,7.0
670,21,4.0
671,16,9.0
672,9,9.0
673,1,9.0
674,23,9.0
675,21,6.0
676,1,5.0
677,14,4.0
678,13,5.0
679,6,4.0
680,1,7.0
681,17,6.0
682,12,8.0
683,16,1.0
684,13,9.0
685,20,8.0
686,1,7.0
687,1,7.0
688,11,5.0
689,16,7.0
690,1,8.0
691,13,6.0
692,11,5.0
693,11,7.0
694,19,1.0
695,21,8.0
696,12,6.0
697,4,5.0
698,13,6.0
699,23,6.0
700,4,9.0
701,20,8.0
702,3,9.0
703,11,7.0
704,21,7.0
705,13,4.0
706,5,7.0
707,20,7.0
708,6,4.0
709,20,8.0
710,1,7.0
711,1,8.0
712,11,8.0
713,2,4.0
714,14,7.0
715,20,8.0
716,22,7.0
717,21,8.0
718,13,8.0
719,11,5.0
720,13,7.0
721,18,10.0
722,12,8.0
723,13,7.0
724,14,8.0
725,12,8.0
726,13,5.0
727,12,6.0
728,14,5.0
729,22,8.0
730,12,8.0
731,5,4.0
732,4,9.0
733,13,5.0
734,4,7.0
735,4,8.0
736,12,8.0
737,3,9.0
738,11,7.0
739,11,7.0
740,23,6.0
741,13,8.0
742,11,5.0
743,21,6.0
744,5,9.0
745,20,9.0
746,11,8.0
747,21,8.0
748,0,10.0
749,11,7.0
750,11,9.0
751,12,8.0
752,20,8.0
753,15,4.0
754,15,5.0
755,6,6.0
756,13,4.0
757,11,7.0
758,14,9.0
759,11,7.0
760,22,7.0
761,21,7.0
762,1,7.0
763,5,7.0
764,6,3.0
765,11,6.0
766,5,8.0
767,22,7.0
768,1,7.0
769,4,9.0
770,14,9.0
771,3,8.0
772,11,6.0
773,12,5.0
774,21,6.0
775,19,4.0
776,3,3.0
777,2,7.0
778,11,6.0
779,16,9.0
780,4,9.0
781,23,5.0
782,4,2.0
783,11,8.0
784,19,0.0
785,17,5.0
786,5,6.0
787,12,5.0
788,5,7.0
789,21,7.0
790,28,0.0
791,22,8.0
792,13,4.0
793,11,6.0
794,21,7.0
795,3,9.0
796,9,2.0
797,4,9.0
798,13,8.0
799,21,6.0
800,3,8.0
801,14,4.0
802,21,7.0
803,12,4.0
804,15,3.0
805,11,7.0
806,21,7.0
807,2,4.0
808,20,7.0
809,13,4.0
810,11,5.0
811,23,6.0
812,5,5.0
813,22,3.0
814,1,7.0
815,1,7.0
816,6,7.0
817,23,7.0
818,13,9.0
819,22,5.0
820,9,7.0
821,1,7.0
822,20,7.0
823,13,4.0
824,13,7.0
825,6,2.0
826,11,8.0
827,6,4.0
828,14,7.0
829,12,4.0
830,9,9.0
831,20,7.0
832,17,6.0
833,13,6.0
834,13,6.0
835,9,9.0
836,1,8.0
837,26,7.0
838,1,7.0
839,12,4.0
840,5,9.0
841,11,2.0
842,11,6.0
843,11,5.0
844,14,7.0
845,25,4.0
846,17,6.0
847,5,5.0
848,21,9.0
849,14,9.0
850,13,9.0
851,11,7.0
852,4,7.0
853,20,8.0
854,11,5.0
855,1,7.0
856,23,7.0
857,5,6.0
858,23,8.0
859,3,7.0
860,2,3.0
861,13,6.0
862,20,9.0
863,26,5.0
864,11,7.0
865,14,7.0
866,21,7.0
867,22,8.0
868,1,6.0
869,6,5.0
870,16,9.0
871,3,8.0
872,3,3.0
873,13,8.0
874,1,7.0
875,15,5.0
876,4,3.0
877,2,2.0
878,1,6.0
879,25,4.0
880,11,0.0
881,23,4.0
882,17,6.0
883,12,7.0
884,1,9.0
885,20,7.0
886,6,5.0
887,22,4.0
888,3,9.0
889,21,6.0
890,23,8.0
891,11,7.0
892,13,7.0
893,26,5.0
894,20,8.0
895,14,7.0
896,3,7.0
897,4,9.0
898,4,9.0
899,21,4.0
900,5,4.0
901,16,10.0
902,16,5.0
903,11,4.0
904,2,8.0
905,12,7.0
906,12,5.0
907,1,6.0
908,21,7.0
909,16,9.0
910,15,5.0
911,2,7.0
912,11,3.0
913,11,7.0
914,1,6.0
915,3,8.0
916,5,7.0
917,1,7.0
918,11,8.0
919,3,9.0
920,12,1.0
921,5,5.0
922,5,5.0
923,13,2.0
924,3,6.0
925,11,7.0
926,5,3.0
927,23,5.0
928,16,9.0
929,20,7.0
930,12,3.0
931,4,9.0
932,1,7.0
933,14,7.0
934,12,5.0
935,11,7.0
936,21,7.0
937,11,4.0
938,2,7.0
939,11,4.0
940,18,6.0
941,19,2.0
942,14,9.0
943,16,4.0
944,23,7.0
945,5,5.0
946,11,6.0
947,12,4.0
948,13,4.0
949,12,8.0
950,1,6.0
951,3,9.0
