max_job,total_students,mean_votes,ratio
אשכול תפקידי מבצעים ומודיעין_אשכול תפקידי חיל האו,979,0.17,0.75
אשכול תפקידי מקצועות המחשב_אשכול מקצועות המחשב,642,0.11,0.49
הדרכה ופיקוד בכלל הזרועות_אשכול אימון גופני,358,0.06,0.27
"הדרכה ופיקוד בכלל הזרועות_מדריכת סימולטור בחה""",342,0.06,0.26
"הדרכה ופיקוד בכלל הזרועות_מדריכת יח""ש",231,0.04,0.18
אשכול תפקידי רפואה_חובשת קדמית,224,0.04,0.17
הדרכה ופיקוד בכלל הזרועות_מדריכת סימולטור בחיל,222,0.04,0.17
הדרכה ופיקוד בכלל הזרועות_מדריכת קרב מגע,170,0.03,0.13
אשכול תפקידי חינוך הוראה והדרכה_אשכול תפקידי חונכות,152,0.03,0.12
אשכול תפקידי רפואה_פרמדיקית,156,0.03,0.12
תפקידי לחימה_באיזו מידה תרצי לשרת,156,0.03,0.12
הדרכה ופיקוד בכלל הזרועות_מדריכת אימונים קרביי,133,0.02,0.1
אשכול תפקידי מבצעים ומודיעין_עובדת חדר מבצעים,115,0.02,0.09
אשכול אבחון כוח אדם_המערך הפסיכוטכני,121,0.02,0.09
הדרכה ופיקוד בכלל הזרועות_מפקדת כיתת טירונים,118,0.02,0.09
מסלול ייעודי לקצונה_קצינת תקשוב קרבי (קש,107,0.02,0.08
אשכול אבחון כוח אדם_מאבחנת מדעי התנהגות,97,0.02,0.07
אשכול תפקידי מקצועות המחשב_חיילת מקצועות המחשוב,87,0.01,0.07
מסלול ייעודי לקצונה_קצינת תקשוב מערכתי,87,0.01,0.07
הדרכה ופיקוד בכלל הזרועות_מדריכת הגנה אווירית,90,0.02,0.07
תפקידי לחימה_לוחמת ימית,90,0.02,0.07
אשכול תפקידי רפואה_מדריכת חיל הרפואה,72,0.01,0.06
הדרכה ופיקוד בכלל הזרועות_מדריכת חיל התקשוב,78,0.01,0.06
אשכול תפקידי פקידות וסיוע_שרטטת גרפיקאית,75,0.01,0.06
"אשכול דוברות וקישור_מש""קית קישור לכוחות",64,0.01,0.05
אשכול תפקידי פקידות וסיוע_חיילת במשרד הביטחון,71,0.01,0.05
אשכול תפקידי מבצעים ומודיעין_רכזת ביטחון מידע,57,0.01,0.04
אשכול תפקידי מבצעים ומודיעין_בקרית שליטה ימית,48,0.01,0.04
