max_job,total_students,mean_votes,ratio
אשכול תפקידי מבצעים ומודיעין_אשכול תפקידי חיל האו,841,0.19,0.64
"הדרכה ופיקוד בכלל הזרועות_מדריכת סימולטור בחה""",347,0.08,0.27
הדרכה ופיקוד בכלל הזרועות_אשכול אימון גופני,312,0.07,0.24
הדרכה ופיקוד בכלל הזרועות_מדריכת סימולטור בחיל,240,0.05,0.18
"הדרכה ופיקוד בכלל הזרועות_מדריכת יח""ש",224,0.05,0.17
אשכול תפקידי רפואה_חובשת קדמית,168,0.04,0.13
תפקידי לחימה_באיזו מידה תרצי לשרת,153,0.03,0.12
הדרכה ופיקוד בכלל הזרועות_מפקדת כיתת טירונים,153,0.03,0.12
אשכול תפקידי חינוך הוראה והדרכה_אשכול תפקידי חונכות,152,0.03,0.12
אשכול תפקידי רפואה_פרמדיקית,148,0.03,0.11
אשכול תפקידי מבצעים ומודיעין_עובדת חדר מבצעים,133,0.03,0.1
הדרכה ופיקוד בכלל הזרועות_מדריכת אימונים קרביי,116,0.03,0.09
הדרכה ופיקוד בכלל הזרועות_מדריכת קרב מגע,110,0.02,0.08
אשכול אבחון כוח אדם_המערך הפסיכוטכני,108,0.02,0.08
הדרכה ופיקוד בכלל הזרועות_מדריכת הגנה אווירית,74,0.02,0.06
אשכול תפקידי ארגון ומנהלה_מנהלה תעופה וסביבת,72,0.02,0.06
אשכול אבחון כוח אדם_מאבחנת מדעי התנהגות,74,0.02,0.06
הדרכה ופיקוד בכלל הזרועות_מדריכת פיקוד העורף,67,0.01,0.05
אשכול תפקידי פקידות וסיוע_חיילת במשרד הביטחון,62,0.01,0.05
אשכול תפקידי רפואה_מדריכת חיל הרפואה,52,0.01,0.04
מסלול ייעודי לקצונה_קצינת תקשוב קרבי (קש,46,0.01,0.04
אשכול תפקידי פקידות וסיוע_שרטטת גרפיקאית,56,0.01,0.04
תפקידי לחימה_לוחמת ימית,56,0.01,0.04
"אשכול דוברות וקישור_מש""קית קישור לכוחות",54,0.01,0.04
אשכול תפקידי מבצעים ומודיעין_רכזת ביטחון מידע,36,0.01,0.03
אשכול תפקידי מבצעים ומודיעין_בקרית שליטה ימית,37,0.01,0.03
אשכול תפקידי חינוך הוראה והדרכה_מורה חיילת,30,0.01,0.02
"הדרכה ופיקוד בכלל הזרועות_מדריכת שו""ב",31,0.01,0.02
"אשכול תפקידי ניהול משאבי אנוש_מש""קית משא""ן סדיר",29,0.01,0.02
הדרכה ופיקוד בכלל הזרועות_מדריכת חיל התקשוב,27,0.01,0.02
"אשכול תפקידי רפואה_מש""קית שירותי רפואה",27,0.01,0.02
מסלול ייעודי לקצונה_קצינת תקשוב מערכתי,22,0.0,0.02
תפקידי לחימה_חובלים,20,0.0,0.02
הדרכה ופיקוד בכלל הזרועות_חונכת מקצועית,26,0.01,0.02
אשכול תפקידי שיטור_לוחמת מעברים,7,0.0,0.01
אשכול תפקידי חינוך הוראה והדרכה_מדריכת נוער בסיס,19,0.0,0.01
אשכול תפקידי רפואה_סייעת רופא שיניים,16,0.0,0.01
אשכול תפקידי שיטור_אבטחת אישים בכירים,18,0.0,0.01
אשכול תפקידי שיטור_חיילת בשירות בתי הסו,8,0.0,0.01
"אשכול תפקידי שיטור_חיילת משטרה (שח""ם)",18,0.0,0.01
אשכול תפקידי רפואה_עובדת מעבדה רפואית,18,0.0,0.01
אשכול תפקידי שיטור_שוטרת צבאית,7,0.0,0.01
הדרכה ופיקוד בכלל הזרועות_מדריכת erp,11,0.0,0.01
אשכול תפקידי פקידות וסיוע_רשמת משפטית,14,0.0,0.01
"אשכול מקצועות טכניים טכנולוגיים_מפעילת קש""ב טקטי",14,0.0,0.01
אשכול מקצועות טכניים טכנולוגיים_מנוענית/ימאית,17,0.0,0.01
אשכול מקצועות טכניים טכנולוגיים_המערך הטכני בחיל הטכ,9,0.0,0.01
מסלול ייעודי לקצונה_קצינה בחיל הטכנולוגי,9,0.0,0.01
אשכול תפקידי ארגון ומנהלה_טכנאית אופטית,11,0.0,0.01
"אשכול תפקידי פקידות וסיוע_מש""קית מטה",9,0.0,0.01
אשכול תפקידי פקידות וסיוע_פקידה,8,0.0,0.01
אשכול תפקידי ניהול משאבי אנוש_רכזת מידע,8,0.0,0.01
אשכול תפקידי מבצעים ומודיעין_תצפיתנית בחיל האיסוף,14,0.0,0.01
אשכול תפקידי מקצועות המחשב_חיילת מקצועות המחשוב,9,0.0,0.01
"אשכול תפקידי ניהול משאבי אנוש_מש""קית משא""ן מילואים",11,0.0,0.01
אשכול תפקידי מקצועות המחשב_חיילת מקצועות התקשוב,11,0.0,0.01
"אשכול תפקידי פקידות וסיוע_מש""קית מתנדבים",14,0.0,0.01
אשכול תפקידי לוגיסטיקה ואחזקה_מאחזקת נשק קל,3,0.0,0.0
אשכול תפקידי לוגיסטיקה ואחזקה_בוחנת תחמושת,1,0.0,0.0
אשכול תפקידי לוגיסטיקה ואחזקה_בודקת ציוד אלקטרוניק,2,0.0,0.0
אשכול מקצועות טכניים טכנולוגיים_המערך הטכני בחיל האו,4,0.0,0.0
אשכול דוברות וקישור_נציגת שירות,3,0.0,0.0
אשכול תפקידי מבצעים ומודיעין_חוקרת מודיעין ימי,3,0.0,0.0
הדרכה ופיקוד בכלל הזרועות_מדריכת שר-אל,3,0.0,0.0
אשכול תפקידי לוגיסטיקה ואחזקה_ספקית אגף הטכנולוגיה,1,0.0,0.0
אשכול תפקידי מקצועות המחשב_אשכול מקצועות המחשב,3,0.0,0.0
מסלול ייעודי לקצונה_קצינת מנהלה בחיל האו,2,0.0,0.0
מסלול ייעודי לקצונה_קצינת פיקוד העורף,2,0.0,0.0
אשכול תפקידי לוגיסטיקה ואחזקה_נהגת בטחון שוטף,1,0.0,0.0
"אשכול דוברות וקישור_מש""קית דוברות",1,0.0,0.0
"אשכול אבחון כוח אדם_מראיינת גחל""ת",3,0.0,0.0
"אשכול תפקידי לוגיסטיקה ואחזקה_מש""קית לוגיסטיקה",6,0.0,0.0
אשכול תפקידי פקידות וסיוע_נציגת שירות,5,0.0,0.0
אשכול תפקידי ארגון ומנהלה_נהגת רכב קל,3,0.0,0.0
אשכול תפקידי ארגון ומנהלה_נהגת בטחון שוטף,5,0.0,0.0
הדרכה ופיקוד בכלל הזרועות_מדריכת חיל הלוגיסטיק,5,0.0,0.0
אשכול תפקידי ארגון ומנהלה_בוחנת תחמושת,2,0.0,0.0
אשכול תפקידי רפואה_חובשת,2,0.0,0.0
הדרכה ופיקוד בכלל הזרועות_מדריכה בחיל הטכנולוג,2,0.0,0.0
"אשכול תפקידי ניהול משאבי אנוש_מש""קית נפגעים",2,0.0,0.0
אשכול תפקידי ארגון ומנהלה_מאבטחת מתקנים,2,0.0,0.0
"אשכול תפקידי ניהול משאבי אנוש_רכזת ג""ל (גיוס לצה""ל",2,0.0,0.0
אשכול תפקידי שיטור_רכזת מודיעין וחקירות,3,0.0,0.0
אשכול תפקידי שיטור_סיירת משמר הגבול (מג,3,0.0,0.0
אשכול תפקידי חינוך הוראה והדרכה_רכזת חינוך וידיעת הא,1,0.0,0.0
אשכול תפקידי ניהול משאבי אנוש_רכזת פניות ציבור,2,0.0,0.0
אשכול תפקידי ניהול משאבי אנוש_רכזת תנאי שירות,3,0.0,0.0
אשכול תפקידי שיטור_אופנוענית שוטרת,1,0.0,0.0
אשכול תפקידי לוגיסטיקה ואחזקה_אחראית ניהול מלאי,3,0.0,0.0
אשכול תפקידי לוגיסטיקה ואחזקה_טכנאית אופטית,4,0.0,0.0
