max_job,total_students,mean_votes,ratio
אשכול תפקידי מבצעים ומודיעין_אשכול תפקידי חיל האו,993,0.17,0.76
אשכול תפקידי מקצועות המחשב_אשכול מקצועות המחשב,637,0.11,0.49
הדרכה ופיקוד בכלל הזרועות_אשכול אימון גופני,350,0.06,0.27
"הדרכה ופיקוד בכלל הזרועות_מדריכת סימולטור בחה""",329,0.06,0.25
הדרכה ופיקוד בכלל הזרועות_מדריכת סימולטור בחיל,235,0.04,0.18
"הדרכה ופיקוד בכלל הזרועות_מדריכת יח""ש",219,0.04,0.17
אשכול תפקידי רפואה_חובשת קדמית,215,0.04,0.16
הדרכה ופיקוד בכלל הזרועות_מדריכת קרב מגע,164,0.03,0.13
תפקידי לחימה_באיזו מידה תרצי לשרת,153,0.03,0.12
אשכול תפקידי חינוך הוראה והדרכה_אשכול תפקידי חונכות,154,0.03,0.12
אשכול תפקידי רפואה_פרמדיקית,149,0.03,0.11
אשכול אבחון כוח אדם_המערך הפסיכוטכני,128,0.02,0.1
הדרכה ופיקוד בכלל הזרועות_מדריכת אימונים קרביי,134,0.02,0.1
אשכול תפקידי מבצעים ומודיעין_עובדת חדר מבצעים,119,0.02,0.09
הדרכה ופיקוד בכלל הזרועות_מפקדת כיתת טירונים,119,0.02,0.09
אשכול אבחון כוח אדם_מאבחנת מדעי התנהגות,100,0.02,0.08
מסלול ייעודי לקצונה_קצינת תקשוב קרבי (קש,107,0.02,0.08
אשכול תפקידי מקצועות המחשב_חיילת מקצועות המחשוב,85,0.01,0.07
הדרכה ופיקוד בכלל הזרועות_מדריכת הגנה אווירית,85,0.01,0.07
תפקידי לחימה_לוחמת ימית,91,0.02,0.07
מסלול ייעודי לקצונה_קצינת תקשוב מערכתי,80,0.01,0.06
אשכול תפקידי פקידות וסיוע_שרטטת גרפיקאית,80,0.01,0.06
"אשכול דוברות וקישור_מש""קית קישור לכוחות",74,0.01,0.06
אשכול תפקידי רפואה_מדריכת חיל הרפואה,69,0.01,0.05
אשכול תפקידי פקידות וסיוע_חיילת במשרד הביטחון,62,0.01,0.05
הדרכה ופיקוד בכלל הזרועות_מדריכת חיל התקשוב,70,0.01,0.05
אשכול תפקידי ארגון ומנהלה_מנהלה תעופה וסביבת,52,0.01,0.04
תפקידי לחימה_חובלים,47,0.01,0.04
אשכול תפקידי מבצעים ומודיעין_רכזת ביטחון מידע,49,0.01,0.04
הדרכה ופיקוד בכלל הזרועות_מדריכת erp,35,0.01,0.03
"אשכול מקצועות טכניים טכנולוגיים_מפעילת קש""ב טקטי",35,0.01,0.03
אשכול תפקידי מבצעים ומודיעין_בקרית שליטה ימית,38,0.01,0.03
"הדרכה ופיקוד בכלל הזרועות_מדריכת שו""ב",41,0.01,0.03
הדרכה ופיקוד בכלל הזרועות_מדריכת פיקוד העורף,39,0.01,0.03
אשכול תפקידי מקצועות המחשב_חיילת מקצועות התקשוב,39,0.01,0.03
אשכול מקצועות טכניים טכנולוגיים_מנוענית/ימאית,27,0.0,0.02
אשכול תפקידי חינוך הוראה והדרכה_מורה חיילת,23,0.0,0.02
"אשכול תפקידי ניהול משאבי אנוש_מש""קית משא""ן סדיר",20,0.0,0.02
אשכול תפקידי פקידות וסיוע_רשמת משפטית,16,0.0,0.01
אשכול תפקידי שיטור_לוחמת מעברים,11,0.0,0.01
אשכול תפקידי שיטור_חיילת בשירות בתי הסו,7,0.0,0.01
אשכול תפקידי שיטור_אבטחת אישים בכירים,13,0.0,0.01
הדרכה ופיקוד בכלל הזרועות_מדריכה בחיל הטכנולוג,10,0.0,0.01
"אשכול תפקידי פקידות וסיוע_מש""קית מתנדבים",8,0.0,0.01
אשכול תפקידי רפואה_עובדת מעבדה רפואית,12,0.0,0.01
"אשכול תפקידי שיטור_חיילת משטרה (שח""ם)",18,0.0,0.01
הדרכה ופיקוד בכלל הזרועות_חונכת מקצועית,8,0.0,0.01
אשכול תפקידי רפואה_סייעת רופא שיניים,16,0.0,0.01
אשכול תפקידי שיטור_שוטרת צבאית,9,0.0,0.01
אשכול תפקידי חינוך הוראה והדרכה_מדריכת נוער בסיס,19,0.0,0.01
אשכול תפקידי לוגיסטיקה ואחזקה_טכנאית אופטית,7,0.0,0.01
אשכול מקצועות טכניים טכנולוגיים_המערך הטכני בחיל הטכ,10,0.0,0.01
"אשכול תפקידי ניהול משאבי אנוש_מש""קית משא""ן מילואים",9,0.0,0.01
אשכול תפקידי מבצעים ומודיעין_תצפיתנית בחיל האיסוף,7,0.0,0.01
אשכול תפקידי ניהול משאבי אנוש_רכזת מידע,9,0.0,0.01
מסלול ייעודי לקצונה_קצינה בחיל הטכנולוגי,17,0.0,0.01
מסלול ייעודי לקצונה_קצינת פיקוד העורף,1,0.0,0.0
