max_job,total_students,mean_votes,ratio
אשכול תפקידי מבצעים ומודיעין_אשכול תפקידי חיל האו,2348,0.18,0.73
אשכול תפקידי מקצועות המחשב_אשכול מקצועות המחשב,1804,0.13,0.56
"הדרכה ופיקוד בכלל הזרועות_מדריכת סימולטור בחה""",784,0.06,0.24
הדרכה ופיקוד בכלל הזרועות_אשכול אימון גופני,719,0.05,0.22
הדרכה ופיקוד בכלל הזרועות_מדריכת סימולטור בחיל,484,0.04,0.15
אשכול תפקידי רפואה_חובשת קדמית,428,0.03,0.13
"הדרכה ופיקוד בכלל הזרועות_מדריכת יח""ש",426,0.03,0.13
אשכול תפקידי חינוך הוראה והדרכה_אשכול תפקידי חונכות,350,0.03,0.11
אשכול תפקידי רפואה_פרמדיקית,326,0.02,0.1
אשכול אבחון כוח אדם_המערך הפסיכוטכני,302,0.02,0.09
אשכול תפקידי מבצעים ומודיעין_עובדת חדר מבצעים,305,0.02,0.09
הדרכה ופיקוד בכלל הזרועות_מדריכת קרב מגע,299,0.02,0.09
תפקידי לחימה_באיזו מידה תרצי לשרת,292,0.02,0.09
הדרכה ופיקוד בכלל הזרועות_מפקדת כיתת טירונים,258,0.02,0.08
הדרכה ופיקוד בכלל הזרועות_מדריכת אימונים קרביי,260,0.02,0.08
הדרכה ופיקוד בכלל הזרועות_מדריכת חיל התקשוב,211,0.02,0.07
מסלול ייעודי לקצונה_קצינת תקשוב מערכתי,226,0.02,0.07
אשכול אבחון כוח אדם_מאבחנת מדעי התנהגות,220,0.02,0.07
אשכול תפקידי מקצועות המחשב_חיילת מקצועות המחשוב,228,0.02,0.07
מסלול ייעודי לקצונה_קצינת תקשוב קרבי (קש,213,0.02,0.07
אשכול תפקידי פקידות וסיוע_שרטטת גרפיקאית,193,0.01,0.06
אשכול תפקידי פקידות וסיוע_חיילת במשרד הביטחון,182,0.01,0.06
הדרכה ופיקוד בכלל הזרועות_מדריכת הגנה אווירית,170,0.01,0.05
אשכול תפקידי מבצעים ומודיעין_רכזת ביטחון מידע,159,0.01,0.05
תפקידי לחימה_לוחמת ימית,169,0.01,0.05
"אשכול דוברות וקישור_מש""קית קישור לכוחות",156,0.01,0.05
אשכול תפקידי רפואה_מדריכת חיל הרפואה,125,0.01,0.04
אשכול תפקידי ארגון ומנהלה_מנהלה תעופה וסביבת,142,0.01,0.04
אשכול תפקידי מקצועות המחשב_חיילת מקצועות התקשוב,131,0.01,0.04
אשכול תפקידי מבצעים ומודיעין_בקרית שליטה ימית,95,0.01,0.03
הדרכה ופיקוד בכלל הזרועות_מדריכת erp,98,0.01,0.03
הדרכה ופיקוד בכלל הזרועות_מדריכת פיקוד העורף,105,0.01,0.03
אשכול תפקידי חינוך הוראה והדרכה_מורה חיילת,84,0.01,0.03
"הדרכה ופיקוד בכלל הזרועות_מדריכת שו""ב",103,0.01,0.03
"אשכול מקצועות טכניים טכנולוגיים_מפעילת קש""ב טקטי",75,0.01,0.02
"אשכול תפקידי ניהול משאבי אנוש_מש""קית משא""ן סדיר",52,0.0,0.02
אשכול מקצועות טכניים טכנולוגיים_מנוענית/ימאית,59,0.0,0.02
מסלול ייעודי לקצונה_קצינה בחיל הטכנולוגי,56,0.0,0.02
תפקידי לחימה_חובלים,72,0.01,0.02
"אשכול תפקידי שיטור_חיילת משטרה (שח""ם)",43,0.0,0.01
אשכול תפקידי שיטור_לוחמת מעברים,19,0.0,0.01
הדרכה ופיקוד בכלל הזרועות_מדריכה בחיל הטכנולוג,23,0.0,0.01
אשכול תפקידי שיטור_שוטרת צבאית,20,0.0,0.01
אשכול תפקידי פקידות וסיוע_רשמת משפטית,44,0.0,0.01
אשכול תפקידי ניהול משאבי אנוש_רכזת מידע,30,0.0,0.01
"אשכול תפקידי רפואה_מש""קית שירותי רפואה",29,0.0,0.01
אשכול תפקידי רפואה_סייעת רופא שיניים,43,0.0,0.01
אשכול מקצועות טכניים טכנולוגיים_המערך הטכני בחיל הטכ,27,0.0,0.01
אשכול תפקידי רפואה_עובדת מעבדה רפואית,34,0.0,0.01
אשכול תפקידי ארגון ומנהלה_טכנאית אופטית,19,0.0,0.01
אשכול תפקידי חינוך הוראה והדרכה_מדריכת נוער בסיס,32,0.0,0.01
אשכול תפקידי שיטור_אבטחת אישים בכירים,29,0.0,0.01
הדרכה ופיקוד בכלל הזרועות_חונכת מקצועית,34,0.0,0.01
אשכול תפקידי ארגון ומנהלה_בוחנת תחמושת,5,0.0,0.0
אשכול תפקידי שיטור_סיירת משמר הגבול (מג,11,0.0,0.0
אשכול תפקידי שיטור_רכזת מודיעין וחקירות,8,0.0,0.0
הדרכה ופיקוד בכלל הזרועות_מדריכת שר-אל,9,0.0,0.0
אשכול דוברות וקישור_נציגת שירות,1,0.0,0.0
אשכול מקצועות תקשורת_המערך הטכני בחיל האו,6,0.0,0.0
אשכול מקצועות תקשורת_אחראית תקשורת ימית מ,2,0.0,0.0
הדרכה ופיקוד בכלל הזרועות_מדריכת חיל הלוגיסטיק,8,0.0,0.0
"אשכול דוברות וקישור_מש""קית דוברות",7,0.0,0.0
אשכול תפקידי שיטור_חיילת בשירות בתי הסו,15,0.0,0.0
"אשכול מקצועות טכניים טכנולוגיים_מיזמי אלקטרוניקה (ח""",9,0.0,0.0
מסלול ייעודי לקצונה_קצינת שלישות בחיל מש,1,0.0,0.0
מסלול ייעודי לקצונה_קצינת פיקוד העורף,5,0.0,0.0
מסלול ייעודי לקצונה_קצינת מנהלה בחיל האו,6,0.0,0.0
אשכול מקצועות טכניים טכנולוגיים_המערך הטכני בחיל האו,7,0.0,0.0
"אשכול אבחון כוח אדם_מראיינת גחל""ת",3,0.0,0.0
אשכול תפקידי לוגיסטיקה ואחזקה_בודקת ציוד אלקטרוניק,1,0.0,0.0
אשכול תפקידי שיטור_אופנוענית שוטרת,1,0.0,0.0
אשכול תפקידי לוגיסטיקה ואחזקה_בוחנת תחמושת,4,0.0,0.0
אשכול תפקידי לוגיסטיקה ואחזקה_טכנאית אופטית,14,0.0,0.0
אשכול תפקידי לוגיסטיקה ואחזקה_מאחזקת מצנחים,1,0.0,0.0
אשכול תפקידי לוגיסטיקה ואחזקה_מאחזקת נשק קל,6,0.0,0.0
"אשכול תפקידי לוגיסטיקה ואחזקה_מש""קית לוגיסטיקה",12,0.0,0.0
אשכול תפקידי לוגיסטיקה ואחזקה_משגיחת כשרות,2,0.0,0.0
אשכול תפקידי לוגיסטיקה ואחזקה_נהגת בטחון שוטף,3,0.0,0.0
אשכול תפקידי לוגיסטיקה ואחזקה_ספקית אגף הטכנולוגיה,3,0.0,0.0
אשכול תפקידי לוגיסטיקה ואחזקה_אחראית ניהול מלאי,6,0.0,0.0
אשכול תפקידי מבצעים ומודיעין_בקרית איסוף קרבי (שח,6,0.0,0.0
אשכול תפקידי מבצעים ומודיעין_חוקרת מודיעין ימי,7,0.0,0.0
אשכול תפקידי חינוך הוראה והדרכה_רכזת חינוך וידיעת הא,2,0.0,0.0
אשכול תפקידי מבצעים ומודיעין_תצפיתנית בחיל האיסוף,14,0.0,0.0
אשכול תפקידי ארגון ומנהלה_נהגת רכב קל,6,0.0,0.0
"אשכול תפקידי ניהול משאבי אנוש_מש""קית משא""ן מילואים",16,0.0,0.0
"אשכול תפקידי ניהול משאבי אנוש_מש""קית נפגעים",1,0.0,0.0
"אשכול תפקידי ניהול משאבי אנוש_מש""קית תכנון כ""א",1,0.0,0.0
"אשכול תפקידי ניהול משאבי אנוש_רכזת ג""ל (גיוס לצה""ל",3,0.0,0.0
אשכול תפקידי ארגון ומנהלה_נהגת בטחון שוטף,11,0.0,0.0
אשכול תפקידי ניהול משאבי אנוש_רכזת תנאי שירות,11,0.0,0.0
אשכול תפקידי ארגון ומנהלה_מערך המנהלה בחיל המו,2,0.0,0.0
"אשכול תפקידי פקידות וסיוע_מש""קית מטה",12,0.0,0.0
"אשכול תפקידי פקידות וסיוע_מש""קית מתנדבים",16,0.0,0.0
אשכול תפקידי פקידות וסיוע_נציגת שירות,4,0.0,0.0
אשכול תפקידי פקידות וסיוע_פקידה,3,0.0,0.0
אשכול תפקידי פקידות וסיוע_פקידת לשכה (מזכירה),1,0.0,0.0
אשכול תפקידי רפואה_חובשת,3,0.0,0.0
אשכול תפקידי ארגון ומנהלה_מאבטחת מתקנים,1,0.0,0.0
אשכול תפקידי ניהול משאבי אנוש_רכזת פניות ציבור,1,0.0,0.0
