,Null Count,Null Ratio
mpr_code_119,16300,1.0
mpr_code_722,16300,1.0
mpr_code_969,16300,1.0
mpr_code_132,16300,1.0
seif_likuy_group_43,16300,1.0
seif_likuy_group_30,16300,1.0
mpr_code_737,16300,1.0
mpr_code_776,16299,0.9999386503067484
mpr_code_730,16299,0.9999386503067484
seif_likuy_group_29,16299,0.9999386503067484
mpr_code_805,16299,0.9999386503067484
mpr_code_807,16299,0.9999386503067484
mpr_code_851,16299,0.9999386503067484
mpr_code_944,16299,0.9999386503067484
mpr_code_142,16299,0.9999386503067484
mpr_code_310,16299,0.9999386503067484
seif_likuy_group_87,16299,0.9999386503067484
mpr_code_719,16299,0.9999386503067484
mpr_code_156,16298,0.9998773006134969
mpr_code_963,16298,0.9998773006134969
mpr_code_158,16298,0.9998773006134969
seif_likuy_group_96,16298,0.9998773006134969
seif_likuy_group_11,16298,0.9998773006134969
seif_likuy_group_12,16298,0.9998773006134969
seif_likuy_group_17,16298,0.9998773006134969
mpr_code_960,16297,0.9998159509202454
mpr_code_140,16297,0.9998159509202454
mpr_code_873,16297,0.9998159509202454
mpr_code_720,16297,0.9998159509202454
mpr_code_721,16297,0.9998159509202454
mpr_code_732,16297,0.9998159509202454
seif_likuy_group_74,16297,0.9998159509202454
seif_likuy_group_73,16296,0.9997546012269939
mpr_code_965,16296,0.9997546012269939
mpr_code_959,16296,0.9997546012269939
seif_likuy_group_34,16296,0.9997546012269939
mpr_code_888,16296,0.9997546012269939
mpr_code_141,16296,0.9997546012269939
seif_likuy_group_82,16296,0.9997546012269939
mpr_code_144,16296,0.9997546012269939
mpr_code_736,16295,0.9996932515337423
mpr_code_779,16295,0.9996932515337423
mpr_code_733,16294,0.9996319018404908
seif_likuy_group_14,16294,0.9996319018404908
seif_likuy_group_99,16294,0.9996319018404908
mpr_code_118,16294,0.9996319018404908
mpr_code_780,16294,0.9996319018404908
mpr_code_145,16293,0.9995705521472392
mpr_code_130,16293,0.9995705521472392
seif_likuy_group_80,16293,0.9995705521472392
mpr_code_804,16293,0.9995705521472392
seif_likuy10,16293,0.9995705521472392
mpr_code_304,16293,0.9995705521472392
mpr_code_808,16292,0.9995092024539878
seif_likuy_group_77,16292,0.9995092024539878
mpr_code_157,16292,0.9995092024539878
seif_likuy_group_20,16292,0.9995092024539878
mpr_code_961,16291,0.9994478527607362
mpr_code_811,16291,0.9994478527607362
mpr_code_768,16291,0.9994478527607362
seif_likuy_group_78,16291,0.9994478527607362
seif_likuy_group_18,16290,0.9993865030674847
seif_likuy_group_61,16289,0.9993251533742331
mpr_code_949,16289,0.9993251533742331
mpr_code_966,16288,0.9992638036809816
mpr_code_308,16288,0.9992638036809816
mpr_code_717,16288,0.9992638036809816
mpr_code_855,16288,0.9992638036809816
mpr_code_123,16288,0.9992638036809816
mpr_code_309,16287,0.9992024539877301
seif_likuy_group_89,16285,0.999079754601227
seif_likuy_group_69,16285,0.999079754601227
mpr_code_967,16284,0.9990184049079754
seif_likuy_group_81,16282,0.9988957055214724
mpr_code_968,16282,0.9988957055214724
seif_likuy_group_70,16280,0.9987730061349693
seif_likuy_group_72,16280,0.9987730061349693
mpr_code_342,16279,0.9987116564417178
mpr_code_743,16278,0.9986503067484662
seif_likuy09,16278,0.9986503067484662
mpr_code_718,16278,0.9986503067484662
seif_likuy_group_44,16277,0.9985889570552148
mpr_code_131,16276,0.9985276073619632
seif_likuy_group_10,16276,0.9985276073619632
mpr_code_134,16276,0.9985276073619632
seif_likuy_group_45,16275,0.9984662576687117
seif_likuy_group_58,16273,0.9983435582822086
mpr_code_854,16270,0.998159509202454
mpr_code_724,16270,0.998159509202454
seif_likuy_group_31,16269,0.9980981595092024
mpr_code_739,16267,0.9979754601226993
mpr_code_758,16265,0.9978527607361963
seif_likuy_group_75,16264,0.9977914110429448
mpr_code_657,16262,0.9976687116564417
mpr_code_750,16258,0.9974233128834356
seif_likuy_group_19,16258,0.9974233128834356
seif_likuy_group_15,16255,0.997239263803681
seif_likuy_group_22,16255,0.997239263803681
mpr_code_159,16254,0.9971779141104294
seif_likuy_group_28,16254,0.9971779141104294
seif_likuy_group_33,16249,0.9968711656441718
seif_likuy_group_88,16247,0.9967484662576687
seif_likuy_group_25,16243,0.9965030674846626
seif_likuy_group_71,16243,0.9965030674846626
mpr_code_761,16242,0.996441717791411
seif_likuy_group_86,16241,0.9963803680981596
seif_likuy08,16241,0.9963803680981596
mpr_code_128,16237,0.9961349693251533
mpr_code_740,16233,0.9958895705521472
seif_likuy_group_6,16231,0.9957668711656442
mpr_code_853,16226,0.9954601226993866
mpr_code_774,16226,0.9954601226993866
mpr_code_762,16225,0.995398773006135
seif_likuy_group_60,16223,0.9952760736196319
seif_likuy_group_62,16223,0.9952760736196319
mpr_code_874,16219,0.9950306748466258
mpr_code_738,16216,0.9948466257668712
mpr_code_734,16212,0.994601226993865
mpr_code_857,16207,0.9942944785276073
mpr_code_122,16204,0.9941104294478528
mpr_code_818,16204,0.9941104294478528
mpr_code_813,16200,0.9938650306748467
mpr_code_114,16194,0.9934969325153374
seif_likuy_group_16,16192,0.9933742331288343
seif_likuy_group_26,16182,0.992760736196319
mpr_code_728,16179,0.9925766871165644
mpr_code_305,16176,0.9923926380368098
seif_likuy_group_76,16169,0.9919631901840491
seif_likuy_group_42,16164,0.9916564417177914
seif_likuy_group_83,16163,0.9915950920245399
mpr_code_729,16162,0.9915337423312883
mpr_code_801,16150,0.99079754601227
seif_likuy07,16148,0.9906748466257669
mpr_code_138,16140,0.9901840490797545
mpr_code_124,16128,0.9894478527607362
mpr_code_747,16126,0.9893251533742331
seif_likuy_group_47,16118,0.9888343558282209
seif_likuy_group_36,16116,0.9887116564417178
mpr_code_307,16113,0.9885276073619632
seif_likuy_group_13,16113,0.9885276073619632
seif_likuy_group_7,16106,0.9880981595092024
seif_likuy_group_32,16083,0.9866871165644172
seif_likuy_group_5,16073,0.9860736196319019
seif_likuy_group_53,16072,0.9860122699386503
mpr_code_302,16057,0.9850920245398773
seif_likuy_group_90,16045,0.9843558282208589
mpr_code_731,16038,0.9839263803680982
mpr_code_741,16029,0.9833742331288343
kahas,16029,0.9833742331288343
mpr_code_749,16009,0.9821472392638037
seif_likuy_group_55,16005,0.9819018404907975
seif_likuy_group_4,15954,0.9787730061349693
mpr_code_940,15947,0.9783435582822085
seif_likuy06,15938,0.9777914110429448
mpr_code_775,15936,0.9776687116564418
seif_likuy_group_84,15934,0.9775460122699386
mpr_code_153,15900,0.9754601226993865
mpr_code_129,15896,0.9752147239263804
mpr_code_766,15872,0.9737423312883435
mpr_code_816,15867,0.9734355828220859
seif_likuy_group_46,15844,0.9720245398773006
mpr_code_771,15785,0.9684049079754601
mpr_code_726,15765,0.9671779141104294
mpr_code_110,15731,0.9650920245398773
seif_likuy_group_9,15719,0.9643558282208589
seif_likuy_group_21,15703,0.9633742331288343
mpr_code_889,15536,0.9531288343558282
seif_likuy_group_8,15471,0.9491411042944785
seif_likuy_group_59,15444,0.9474846625766871
seif_likuy05,15438,0.947116564417178
seif_likuy_group_2,15357,0.9421472392638037
dapar_hastzurani,15286,0.9377914110429448
seif_likuy_group_41,15202,0.9326380368098159
mpr_code_814,15130,0.9282208588957055
mpr_code_303,14971,0.9184662576687117
seif_likuy_group_38,14878,0.912760736196319
mpr_code_748,14838,0.9103067484662577
mpr_code_765,14834,0.9100613496932516
mpr_code_735,14643,0.8983435582822086
