,attribute,count_high,count_low,mean_high,mean_low,std_high,std_low,min_high,min_low,25%_high,25%_low,50%_high,50%_low,75%_high,75%_low,max_high,max_low,ks_statistic,p_value,smd,smd_global,mean_difference,mean_difference_global
11,yehidot_chemistry,3214.0,3214.0,1.17,1.16,2.12,2.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,1.0,0.0,0.1,0.01,0.19
30,mea_madad_keshev_selectivi,3214.0,3214.0,3.0,3.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1.0,,,0.0,0.0
33,mea_misgeret,3214.0,3214.0,3.79,3.79,0.53,0.53,0.0,0.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,0.0,1.0,0.0,0.02,0.0,0.01
25,mea_svivat_irgun,3214.0,3214.0,3.78,3.78,0.72,0.71,1.0,1.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,0.0,1.0,0.0,0.25,0.0,0.18
12,yehidot_english,3214.0,3214.0,4.91,4.93,0.44,0.4,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,10.0,0.0,1.0,-0.05,0.14,-0.02,0.07
23,mea_svivat_tipul,3214.0,3214.0,3.58,3.59,0.66,0.66,0.0,0.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,0.01,1.0,-0.02,-0.05,-0.02,-0.03
2,weight,3214.0,3214.0,58.99,59.1,11.1,11.1,35.0,33.0,51.0,51.0,57.0,57.0,64.0,64.0,166.0,130.0,0.01,1.0,-0.01,-0.08,-0.11,-0.84
24,mea_svivat_afaala,3214.0,3214.0,3.73,3.73,0.74,0.74,1.0,1.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,0.01,1.0,-0.01,0.42,-0.01,0.32
7,bagrut_max_units,3214.0,3214.0,6.15,6.13,2.19,2.14,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,15.0,15.0,0.01,1.0,0.01,0.33,0.02,0.72
20,mea_madad_keshev_mitmasheh,3214.0,3214.0,3.78,3.76,0.98,0.99,1.0,0.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,0.01,1.0,0.02,0.22,0.02,0.22
27,mea_madad_avodat_zevet,3214.0,3214.0,3.79,3.82,0.57,0.56,0.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,0.01,1.0,-0.04,-0.1,-0.02,-0.06
21,mea_svivat_ahzaka,3214.0,3214.0,3.87,3.89,1.01,1.0,1.0,1.0,3.0,3.0,4.0,4.0,5.0,5.0,5.0,5.0,0.01,1.0,-0.02,0.2,-0.02,0.2
3,profil,3214.0,3214.0,83.03,83.12,16.35,16.71,21.0,21.0,72.0,72.0,82.0,82.0,97.0,97.0,97.0,97.0,0.01,1.0,-0.01,-0.12,-0.1,-1.93
5,seif_likuy_sum_severity,3214.0,3214.0,4.22,4.21,5.87,5.77,0.0,0.0,1.0,1.0,2.0,2.0,6.0,5.5,142.33,115.33,0.01,0.99,0.0,0.08,0.01,0.42
34,city_sotzio,3214.0,3214.0,7.13,7.14,1.77,1.81,0.0,0.0,6.0,6.0,7.0,7.0,9.0,9.0,10.0,10.0,0.01,0.99,-0.0,-0.02,-0.0,-0.03
14,yehidot_computers,3214.0,3214.0,0.8,0.87,2.41,2.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,0.01,0.98,-0.03,0.77,-0.07,2.11
22,mea_madad_hashkaa,3214.0,3214.0,3.82,3.83,0.57,0.56,0.0,0.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,0.01,0.98,-0.03,-0.06,-0.02,-0.03
1,height,3214.0,3214.0,162.75,162.69,6.18,6.19,144.0,143.0,158.0,159.0,163.0,163.0,167.0,167.0,188.0,183.0,0.01,0.98,0.01,0.02,0.06,0.12
6,seif_likuy_total,3214.0,3214.0,2.74,2.71,1.37,1.35,1.0,1.0,2.0,2.0,3.0,2.0,3.0,3.0,9.0,10.0,0.01,0.95,0.02,0.08,0.03,0.11
31,mea_madad_pikud,3214.0,3214.0,3.19,3.2,0.72,0.73,0.0,0.0,3.0,3.0,3.0,3.0,4.0,4.0,5.0,5.0,0.01,0.92,-0.02,-0.08,-0.02,-0.06
4,seif_likuy_max_severity,3214.0,3214.0,2.64,2.72,4.18,4.26,0.0,0.0,1.0,1.0,2.0,2.0,4.0,4.0,137.33,114.33,0.01,0.92,-0.02,0.05,-0.08,0.2
0,bmi,3214.0,3214.0,22.24,22.31,3.82,3.84,14.03,13.91,19.71,19.68,21.48,21.53,24.0,24.03,60.97,44.98,0.01,0.92,-0.02,-0.09,-0.06,-0.35
32,mea_svivat_sade,3214.0,3214.0,3.88,3.91,0.63,0.63,0.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,0.02,0.85,-0.04,-0.09,-0.02,-0.05
10,yehidot_physics,3214.0,3214.0,1.34,1.41,2.27,2.29,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,10.0,10.0,0.02,0.83,-0.03,0.59,-0.07,1.22
28,mea_bagrut,3214.0,3214.0,3.56,3.58,0.59,0.59,0.0,0.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,0.02,0.83,-0.03,-0.0,-0.02,-0.0
18,dapar_haskamuti,3214.0,3214.0,17.04,17.12,4.51,4.48,4.0,5.0,14.0,14.0,17.0,17.0,21.0,21.0,25.0,25.0,0.02,0.81,-0.02,0.44,-0.08,1.96
29,mea_svivat_adraha,3214.0,3214.0,3.43,3.46,0.67,0.66,0.0,0.0,3.0,3.0,3.0,3.0,4.0,4.0,5.0,5.0,0.02,0.77,-0.04,-0.01,-0.03,-0.01
19,dapar_atzuranit,3214.0,3214.0,26.49,26.53,2.28,2.31,16.0,15.0,25.0,25.0,27.0,27.0,28.0,28.0,30.0,30.0,0.02,0.75,-0.02,0.29,-0.05,0.68
9,bagrut_total,3214.0,3214.0,9.99,10.06,0.9,0.81,1.0,1.0,10.0,10.0,10.0,10.0,10.0,10.0,13.0,14.0,0.02,0.73,-0.08,0.15,-0.06,0.13
35,sotzio,3214.0,3214.0,7.65,7.65,1.67,1.71,0.0,0.0,7.0,7.0,8.0,8.0,9.0,9.0,10.0,10.0,0.02,0.65,-0.0,0.03,-0.0,0.04
8,bagrut_sum_units,3214.0,3214.0,30.71,30.95,4.26,4.1,0.0,0.0,29.0,29.0,30.0,30.0,34.0,34.0,51.0,53.0,0.02,0.63,-0.06,0.42,-0.24,1.8
37,comp_5_ration,3214.0,3214.0,0.1,0.1,0.07,0.06,0.0,0.0,0.06,0.06,0.11,0.11,0.13,0.12,1.0,0.6,0.02,0.63,0.01,0.27,0.0,0.02
17,dapar_amilulit,3214.0,3214.0,24.74,24.79,2.79,2.84,10.0,11.0,23.0,23.0,25.0,25.0,27.0,27.0,30.0,30.0,0.02,0.61,-0.02,0.21,-0.05,0.6
26,mea_svivat_ibud,3214.0,3214.0,3.78,3.8,0.7,0.7,2.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,0.02,0.53,-0.03,0.41,-0.02,0.31
16,dapar_horaot,3214.0,3214.0,21.92,21.99,2.18,2.18,12.0,13.0,21.0,21.0,22.0,22.0,24.0,24.0,25.0,25.0,0.02,0.53,-0.03,0.36,-0.06,0.81
15,dapar,3214.0,3214.0,72.39,72.74,10.32,10.24,60.0,60.0,60.0,60.0,70.0,70.0,80.0,80.0,90.0,90.0,0.02,0.53,-0.04,0.48,-0.36,4.84
36,math_5_ration,3214.0,3214.0,0.34,0.34,0.11,0.11,0.0,0.0,0.29,0.29,0.33,0.34,0.4,0.4,1.0,1.0,0.02,0.31,-0.03,0.12,-0.0,0.01
13,yehidot_math,3214.0,3214.0,4.51,4.56,0.74,0.69,0.0,0.0,4.0,4.0,5.0,5.0,5.0,5.0,10.0,10.0,0.03,0.14,-0.07,0.57,-0.05,0.44
