,Feature,Coefficient,abs_Coefficient
22,yehidot_computers,0.26,0.26
21,yehidot_math,0.1,0.1
17,mea_svivat_ibud,0.04,0.04
16,yehidot_physics,0.03,0.03
50,napa_code_8.0,0.02,0.02
49,napa_code_7.0,0.02,0.02
47,napa_code_5.0,0.02,0.02
2,mea_madad_avodat_zevet,0.02,0.02
46,napa_code_4.0,0.02,0.02
23,napa_code_0.0,0.02,0.02
19,dapar,0.02,0.02
35,napa_code_2.0,0.02,0.02
26,napa_code_11.0,0.02,0.02
20,mea_svivat_afaala,0.02,0.02
51,napa_code_9.0,0.02,0.02
32,napa_code_17.0,0.02,0.02
31,napa_code_16.0,0.01,0.01
9,bagrut_total,0.01,0.01
28,napa_code_13.0,0.01,0.01
36,napa_code_20.0,0.01,0.01
0,mea_madad_pikud,0.01,0.01
5,profil,0.01,0.01
15,dapar_haskamuti,0.01,0.01
48,napa_code_6.0,0.01,0.01
12,dapar_atzuranit,0.01,0.01
25,napa_code_10.0,0.01,0.01
29,napa_code_14.0,0.01,0.01
11,mea_svivat_irgun,0.01,0.01
14,dapar_horaot,0.01,0.01
27,napa_code_12.0,0.01,0.01
7,mea_madad_keshev_mitmasheh,0.01,0.01
10,dapar_amilulit,0.01,0.01
1,seif_likuy_total,0.01,0.01
4,seif_likuy_sum_severity,0.01,0.01
18,bagrut_sum_units,0.01,0.01
8,mea_svivat_ahzaka,0.01,0.01
34,napa_code_19.0,0.01,0.01
3,weight,0.01,0.01
13,bagrut_max_units,0.01,0.01
52,napa_code_nan,0.01,0.01
6,yehidot_english,0.01,0.01
37,napa_code_21.0,0.01,0.01
24,napa_code_1.0,0.01,0.01
45,napa_code_3.0,0.01,0.01
39,napa_code_23.0,0.01,0.01
38,napa_code_22.0,0.01,0.01
33,napa_code_18.0,0.0,0.0
40,napa_code_24.0,0.0,0.0
41,napa_code_25.0,0.0,0.0
42,napa_code_26.0,0.0,0.0
43,napa_code_27.0,0.0,0.0
44,napa_code_28.0,0.0,0.0
30,napa_code_15.0,0.0,0.0
