,count,unique,top,freq
1,140.0,33.0,0.0,70.0
2,139.0,30.0,0.0,73.0
3,143.0,35.0,0.0,67.0
7,144.0,36.0,0.0,69.0
8,140.0,34.0,0.0,72.0
15,133.0,25.0,0.0,90.0
22,141.0,32.0,0.0,71.0
24,148.0,38.0,0.0,70.0
27,140.0,30.0,0.0,74.0
28,141.0,38.0,0.0,69.0
29,142.0,33.0,0.0,67.0
30,133.0,24.0,0.0,91.0
32,141.0,34.0,0.0,68.0
34,142.0,36.0,0.0,70.0
37,141.0,35.0,0.0,69.0
40,142.0,35.0,0.0,69.0
42,136.0,28.0,0.0,82.0
43,129.0,20.0,0.0,96.0
44,142.0,37.0,0.0,69.0
45,147.0,36.0,0.0,68.0
46,150.0,40.0,0.0,68.0
47,143.0,34.0,0.0,71.0
48,142.0,34.0,0.0,70.0
49,143.0,36.0,0.0,67.0
52,144.0,35.0,0.0,70.0
60,140.0,32.0,0.0,71.0
61,150.0,39.0,0.0,64.0
68,146.0,40.0,0.0,68.0
69,141.0,35.0,0.0,75.0
70,144.0,36.0,0.0,69.0
71,149.0,40.0,0.0,63.0
73,143.0,36.0,0.0,72.0
74,140.0,33.0,0.0,72.0
75,143.0,36.0,0.0,72.0
76,143.0,36.0,0.0,70.0
77,140.0,33.0,0.0,72.0
79,140.0,33.0,0.0,71.0
82,140.0,34.0,0.0,70.0
84,145.0,34.0,0.0,72.0
86,143.0,37.0,0.0,69.0
87,142.0,34.0,0.0,66.0
88,150.0,40.0,0.0,70.0
92,142.0,35.0,0.0,69.0
95,141.0,35.0,0.0,70.0
96,142.0,37.0,0.0,68.0
97,142.0,37.0,0.0,69.0
99,146.0,38.0,0.0,69.0
101,146.0,37.0,0.0,70.0
104,142.0,36.0,0.0,69.0
105,142.0,36.0,0.0,67.0
106,146.0,38.0,0.0,68.0
107,144.0,35.0,0.0,70.0
108,142.0,35.0,0.0,71.0
109,142.0,35.0,0.0,66.0
115,141.0,34.0,0.0,72.0
117,142.0,34.0,0.0,69.0
118,140.0,35.0,0.0,72.0
121,141.0,35.0,0.0,71.0
123,144.0,37.0,0.0,69.0
124,146.0,37.0,0.0,67.0
125,143.0,36.0,0.0,67.0
127,141.0,37.0,0.0,69.0
128,142.0,35.0,0.0,69.0
129,142.0,34.0,0.0,66.0
130,142.0,35.0,0.0,67.0
131,142.0,35.0,0.0,68.0
134,139.0,32.0,0.0,72.0
135,145.0,40.0,0.0,62.0
137,142.0,37.0,0.0,68.0
139,145.0,37.0,0.0,67.0
142,151.0,43.0,0.0,67.0
146,142.0,35.0,0.0,69.0
148,133.0,27.0,0.0,91.0
152,143.0,34.0,0.0,72.0
156,140.0,34.0,0.0,69.0
157,142.0,37.0,0.0,68.0
158,152.0,43.0,0.0,60.0
159,149.0,39.0,0.0,62.0
160,143.0,35.0,0.0,70.0
165,142.0,34.0,0.0,68.0
167,142.0,34.0,0.0,70.0
170,147.0,42.0,0.0,69.0
175,139.0,32.0,0.0,75.0
179,143.0,36.0,0.0,73.0
187,140.0,35.0,0.0,71.0
188,140.0,34.0,0.0,69.0
189,143.0,37.0,0.0,67.0
191,141.0,35.0,0.0,67.0
194,143.0,35.0,0.0,68.0
195,146.0,38.0,0.0,70.0
199,145.0,37.0,0.0,67.0
201,140.0,33.0,0.0,73.0
202,148.0,39.0,0.0,69.0
205,142.0,34.0,0.0,64.0
208,146.0,38.0,0.0,69.0
209,144.0,37.0,0.0,67.0
210,144.0,37.0,0.0,69.0
211,145.0,36.0,0.0,73.0
213,145.0,39.0,0.0,60.0
216,141.0,32.0,0.0,71.0
229,142.0,34.0,0.0,71.0
234,140.0,34.0,0.0,71.0
238,146.0,36.0,0.0,68.0
240,146.0,36.0,0.0,65.0
244,141.0,35.0,0.0,69.0
253,142.0,36.0,0.0,68.0
255,145.0,36.0,0.0,68.0
256,133.0,24.0,0.0,91.0
262,147.0,39.0,0.0,70.0
266,144.0,35.0,0.0,71.0
268,144.0,37.0,0.0,65.0
284,144.0,36.0,0.0,64.0
292,153.0,41.0,0.0,69.0
300,146.0,37.0,0.0,70.0
302,139.0,34.0,0.0,73.0
305,142.0,36.0,0.0,68.0
307,146.0,38.0,0.0,71.0
313,143.0,35.0,0.0,72.0
314,141.0,32.0,0.0,73.0
316,145.0,36.0,0.0,66.0
317,142.0,34.0,0.0,69.0
318,142.0,32.0,0.0,69.0
320,142.0,34.0,0.0,70.0
321,147.0,38.0,0.0,71.0
324,147.0,40.0,0.0,67.0
329,145.0,35.0,0.0,71.0
330,149.0,40.0,0.0,72.0
331,141.0,35.0,0.0,70.0
332,145.0,35.0,0.0,70.0
339,145.0,35.0,0.0,67.0
346,142.0,34.0,0.0,67.0
348,144.0,36.0,0.0,70.0
350,148.0,41.0,0.0,65.0
351,135.0,26.0,0.0,91.0
354,144.0,36.0,0.0,69.0
357,144.0,37.0,0.0,67.0
361,145.0,35.0,0.0,71.0
366,144.0,35.0,0.0,69.0
367,141.0,34.0,0.0,71.0
368,142.0,34.0,0.0,70.0
369,142.0,36.0,0.0,67.0
370,144.0,36.0,0.0,69.0
374,143.0,37.0,0.0,72.0
376,143.0,37.0,0.0,69.0
379,140.0,35.0,0.0,71.0
381,141.0,33.0,0.0,73.0
382,140.0,33.0,0.0,72.0
384,140.0,35.0,0.0,71.0
385,148.0,41.0,0.0,67.0
387,143.0,37.0,0.0,70.0
390,143.0,36.0,0.0,67.0
391,143.0,35.0,0.0,71.0
395,146.0,39.0,0.0,69.0
396,142.0,35.0,0.0,68.0
400,147.0,37.0,0.0,70.0
401,140.0,35.0,0.0,69.0
402,133.0,25.0,0.0,92.0
405,146.0,38.0,0.0,68.0
406,131.0,22.0,0.0,93.0
408,144.0,35.0,0.0,68.0
411,146.0,37.0,0.0,67.0
414,142.0,34.0,0.0,70.0
415,139.0,34.0,0.0,73.0
416,149.0,39.0,0.0,67.0
419,140.0,36.0,0.0,69.0
420,142.0,35.0,0.0,69.0
421,148.0,38.0,0.0,68.0
422,141.0,33.0,0.0,70.0
424,144.0,34.0,0.0,67.0
426,143.0,37.0,0.0,68.0
427,154.0,43.0,0.0,64.0
428,153.0,43.0,0.0,67.0
429,141.0,34.0,0.0,70.0
430,144.0,36.0,0.0,68.0
431,148.0,41.0,0.0,69.0
432,143.0,36.0,0.0,67.0
434,142.0,36.0,0.0,69.0
438,140.0,31.0,0.0,72.0
440,140.0,33.0,0.0,69.0
443,146.0,38.0,0.0,67.0
444,146.0,38.0,0.0,69.0
445,144.0,37.0,0.0,69.0
446,146.0,40.0,0.0,69.0
448,146.0,39.0,0.0,69.0
449,140.0,31.0,0.0,69.0
452,143.0,37.0,0.0,67.0
458,148.0,37.0,0.0,69.0
459,146.0,37.0,0.0,67.0
466,146.0,35.0,0.0,68.0
467,143.0,34.0,0.0,71.0
468,141.0,35.0,0.0,70.0
477,142.0,36.0,0.0,68.0
479,142.0,36.0,0.0,69.0
480,144.0,35.0,0.0,69.0
483,146.0,36.0,0.0,70.0
492,143.0,36.0,0.0,68.0
493,133.0,22.0,0.0,95.0
498,143.0,36.0,0.0,71.0
502,144.0,38.0,0.0,67.0
508,142.0,35.0,0.0,68.0
511,145.0,38.0,0.0,68.0
512,144.0,36.0,0.0,70.0
514,144.0,36.0,0.0,68.0
518,148.0,38.0,0.0,69.0
522,142.0,38.0,0.0,67.0
523,144.0,39.0,0.0,67.0
524,142.0,37.0,0.0,69.0
525,144.0,36.0,0.0,68.0
526,151.0,43.0,0.0,68.0
528,144.0,36.0,0.0,70.0
530,140.0,35.0,0.0,72.0
534,149.0,38.0,0.0,74.0
536,142.0,35.0,0.0,66.0
540,142.0,35.0,0.0,70.0
544,142.0,37.0,0.0,70.0
545,142.0,37.0,0.0,66.0
546,143.0,37.0,0.0,66.0
548,142.0,36.0,0.0,67.0
550,145.0,39.0,0.0,63.0
552,146.0,39.0,0.0,66.0
555,144.0,34.0,0.0,68.0
557,147.0,39.0,0.0,67.0
558,142.0,35.0,0.0,70.0
563,144.0,36.0,0.0,70.0
564,140.0,34.0,0.0,71.0
565,142.0,34.0,0.0,70.0
567,140.0,34.0,0.0,71.0
568,144.0,37.0,0.0,69.0
569,146.0,37.0,0.0,67.0
571,148.0,40.0,0.0,69.0
573,142.0,34.0,0.0,70.0
577,142.0,34.0,0.0,68.0
585,142.0,36.0,0.0,69.0
589,148.0,37.0,0.0,69.0
590,141.0,33.0,0.0,71.0
591,150.0,40.0,0.0,67.0
592,144.0,35.0,0.0,68.0
594,141.0,34.0,0.0,70.0
595,141.0,34.0,0.0,70.0
597,145.0,36.0,0.0,71.0
