max_job,total_students,mean_votes,ratio
אשכול תפקידי מבצעים ומודיעין_אשכול תפקידי חיל האו,7252,0.15,0.56
"הדרכה ופיקוד בכלל הזרועות_מדריכת סימולטור בחה""",3392,0.07,0.26
אשכול תפקידי מקצועות המחשב_אשכול מקצועות המחשב,2906,0.06,0.23
הדרכה ופיקוד בכלל הזרועות_אשכול אימון גופני,2787,0.06,0.22
הדרכה ופיקוד בכלל הזרועות_מדריכת סימולטור בחיל,2434,0.05,0.19
"הדרכה ופיקוד בכלל הזרועות_מדריכת יח""ש",2031,0.04,0.16
תפקידי לחימה_באיזו מידה תרצי לשרת,1616,0.03,0.13
אשכול תפקידי חינוך הוראה והדרכה_אשכול תפקידי חונכות,1505,0.03,0.12
הדרכה ופיקוד בכלל הזרועות_מפקדת כיתת טירונים,1403,0.03,0.11
אשכול תפקידי רפואה_חובשת קדמית,1462,0.03,0.11
הדרכה ופיקוד בכלל הזרועות_מדריכת אימונים קרביי,1273,0.03,0.1
הדרכה ופיקוד בכלל הזרועות_מדריכת קרב מגע,1115,0.02,0.09
אשכול תפקידי רפואה_פרמדיקית,1129,0.02,0.09
אשכול תפקידי מבצעים ומודיעין_עובדת חדר מבצעים,1210,0.03,0.09
אשכול תפקידי פקידות וסיוע_חיילת במשרד הביטחון,755,0.02,0.06
אשכול אבחון כוח אדם_המערך הפסיכוטכני,822,0.02,0.06
הדרכה ופיקוד בכלל הזרועות_מדריכת הגנה אווירית,613,0.01,0.05
אשכול תפקידי פקידות וסיוע_שרטטת גרפיקאית,650,0.01,0.05
אשכול אבחון כוח אדם_מאבחנת מדעי התנהגות,665,0.01,0.05
אשכול תפקידי מקצועות המחשב_חיילת מקצועות המחשוב,605,0.01,0.05
תפקידי לחימה_לוחמת ימית,630,0.01,0.05
"אשכול דוברות וקישור_מש""קית קישור לכוחות",527,0.01,0.04
מסלול ייעודי לקצונה_קצינת תקשוב קרבי (קש,552,0.01,0.04
מסלול ייעודי לקצונה_קצינת תקשוב מערכתי,458,0.01,0.04
