max_job,total_students,mean_votes,ratio
אשכול תפקידי מבצעים ומודיעין_אשכול תפקידי חיל האו,1167,0.18,0.6
"הדרכה ופיקוד בכלל הזרועות_מדריכת סימולטור בחה""",503,0.08,0.26
אשכול תפקידי מקצועות המחשב_אשכול מקצועות המחשב,487,0.07,0.25
הדרכה ופיקוד בכלל הזרועות_אשכול אימון גופני,399,0.06,0.21
הדרכה ופיקוד בכלל הזרועות_מדריכת סימולטור בחיל,322,0.05,0.17
"הדרכה ופיקוד בכלל הזרועות_מדריכת יח""ש",300,0.05,0.16
אשכול תפקידי חינוך הוראה והדרכה_אשכול תפקידי חונכות,226,0.03,0.12
הדרכה ופיקוד בכלל הזרועות_מפקדת כיתת טירונים,210,0.03,0.11
אשכול תפקידי רפואה_חובשת קדמית,200,0.03,0.1
תפקידי לחימה_באיזו מידה תרצי לשרת,200,0.03,0.1
אשכול תפקידי רפואה_פרמדיקית,176,0.03,0.09
אשכול תפקידי מבצעים ומודיעין_עובדת חדר מבצעים,159,0.02,0.08
הדרכה ופיקוד בכלל הזרועות_מדריכת קרב מגע,139,0.02,0.07
הדרכה ופיקוד בכלל הזרועות_מדריכת אימונים קרביי,140,0.02,0.07
אשכול אבחון כוח אדם_המערך הפסיכוטכני,122,0.02,0.06
אשכול תפקידי פקידות וסיוע_שרטטת גרפיקאית,90,0.01,0.05
אשכול תפקידי פקידות וסיוע_חיילת במשרד הביטחון,100,0.02,0.05
אשכול אבחון כוח אדם_מאבחנת מדעי התנהגות,101,0.02,0.05
הדרכה ופיקוד בכלל הזרועות_מדריכת הגנה אווירית,87,0.01,0.05
הדרכה ופיקוד בכלל הזרועות_מדריכת פיקוד העורף,68,0.01,0.04
מסלול ייעודי לקצונה_קצינת תקשוב קרבי (קש,85,0.01,0.04
תפקידי לחימה_לוחמת ימית,75,0.01,0.04
"אשכול דוברות וקישור_מש""קית קישור לכוחות",79,0.01,0.04
אשכול תפקידי ארגון ומנהלה_מנהלה תעופה וסביבת,81,0.01,0.04
אשכול תפקידי רפואה_מדריכת חיל הרפואה,61,0.01,0.03
מסלול ייעודי לקצונה_קצינת תקשוב מערכתי,60,0.01,0.03
"הדרכה ופיקוד בכלל הזרועות_מדריכת שו""ב",53,0.01,0.03
הדרכה ופיקוד בכלל הזרועות_מדריכת חיל התקשוב,67,0.01,0.03
אשכול תפקידי מבצעים ומודיעין_רכזת ביטחון מידע,53,0.01,0.03
