max_job,total_students,mean_votes,ratio
אשכול תפקידי מקצועות המחשב_אשכול מקצועות המחשב,1365,0.16,0.71
אשכול תפקידי מבצעים ומודיעין_אשכול תפקידי חיל האו,1187,0.14,0.61
אשכול תפקידי מקצועות המחשב_חיילת מקצועות המחשוב,572,0.07,0.3
"הדרכה ופיקוד בכלל הזרועות_מדריכת סימולטור בחה""",434,0.05,0.22
אשכול תפקידי מקצועות המחשב_חיילת מקצועות התקשוב,244,0.03,0.13
הדרכה ופיקוד בכלל הזרועות_אשכול אימון גופני,245,0.03,0.13
הדרכה ופיקוד בכלל הזרועות_מדריכת חיל התקשוב,261,0.03,0.13
הדרכה ופיקוד בכלל הזרועות_מדריכת סימולטור בחיל,227,0.03,0.12
מסלול ייעודי לקצונה_קצינת תקשוב מערכתי,236,0.03,0.12
אשכול תפקידי רפואה_חובשת קדמית,177,0.02,0.09
אשכול תפקידי מבצעים ומודיעין_עובדת חדר מבצעים,181,0.02,0.09
אשכול אבחון כוח אדם_המערך הפסיכוטכני,157,0.02,0.08
אשכול תפקידי מבצעים ומודיעין_רכזת ביטחון מידע,158,0.02,0.08
אשכול תפקידי רפואה_פרמדיקית,132,0.02,0.07
אשכול תפקידי פקידות וסיוע_חיילת במשרד הביטחון,145,0.02,0.07
אשכול תפקידי פקידות וסיוע_שרטטת גרפיקאית,143,0.02,0.07
אשכול תפקידי חינוך הוראה והדרכה_אשכול תפקידי חונכות,126,0.02,0.07
אשכול אבחון כוח אדם_מאבחנת מדעי התנהגות,108,0.01,0.06
הדרכה ופיקוד בכלל הזרועות_מדריכת קרב מגע,122,0.01,0.06
מסלול ייעודי לקצונה_קצינת תקשוב קרבי (קש,115,0.01,0.06
תפקידי לחימה_באיזו מידה תרצי לשרת,107,0.01,0.06
אשכול תפקידי ארגון ומנהלה_מנהלה תעופה וסביבת,102,0.01,0.05
הדרכה ופיקוד בכלל הזרועות_מדריכת erp,92,0.01,0.05
הדרכה ופיקוד בכלל הזרועות_מדריכת אימונים קרביי,101,0.01,0.05
"הדרכה ופיקוד בכלל הזרועות_מדריכת יח""ש",106,0.01,0.05
הדרכה ופיקוד בכלל הזרועות_מפקדת כיתת טירונים,93,0.01,0.05
"אשכול דוברות וקישור_מש""קית קישור לכוחות",76,0.01,0.04
אשכול תפקידי מבצעים ומודיעין_בקרית שליטה ימית,73,0.01,0.04
אשכול תפקידי רפואה_מדריכת חיל הרפואה,64,0.01,0.03
הדרכה ופיקוד בכלל הזרועות_מדריכת הגנה אווירית,62,0.01,0.03
הדרכה ופיקוד בכלל הזרועות_מדריכת פיקוד העורף,51,0.01,0.03
"הדרכה ופיקוד בכלל הזרועות_מדריכת שו""ב",49,0.01,0.03
מסלול ייעודי לקצונה_קצינה בחיל הטכנולוגי,55,0.01,0.03
תפקידי לחימה_לוחמת ימית,56,0.01,0.03
"אשכול מקצועות טכניים טכנולוגיים_מפעילת קש""ב טקטי",60,0.01,0.03
אשכול מקצועות טכניים טכנולוגיים_המערך הטכני בחיל הטכ,30,0.0,0.02
אשכול תפקידי פקידות וסיוע_רשמת משפטית,38,0.0,0.02
אשכול תפקידי רפואה_סייעת רופא שיניים,40,0.0,0.02
הדרכה ופיקוד בכלל הזרועות_מדריכה בחיל הטכנולוג,35,0.0,0.02
"אשכול תפקידי שיטור_חיילת משטרה (שח""ם)",44,0.01,0.02
אשכול תפקידי חינוך הוראה והדרכה_מורה חיילת,37,0.0,0.02
הדרכה ופיקוד בכלל הזרועות_חונכת מקצועית,38,0.0,0.02
אשכול תפקידי ניהול משאבי אנוש_רכזת מידע,40,0.0,0.02
"אשכול תפקידי ניהול משאבי אנוש_מש""קית משא""ן סדיר",41,0.0,0.02
אשכול מקצועות טכניים טכנולוגיים_מנוענית/ימאית,39,0.0,0.02
אשכול תפקידי שיטור_לוחמת מעברים,14,0.0,0.01
אשכול תפקידי שיטור_אבטחת אישים בכירים,14,0.0,0.01
