max_job,total_students,mean_votes,ratio
אשכול תפקידי מבצעים ומודיעין_אשכול תפקידי חיל האו,1319,0.14,0.58
אשכול תפקידי מקצועות המחשב_אשכול מקצועות המחשב,1278,0.13,0.56
אשכול תפקידי מקצועות המחשב_חיילת מקצועות המחשוב,703,0.07,0.31
הדרכה ופיקוד בכלל הזרועות_אשכול אימון גופני,345,0.04,0.15
"הדרכה ופיקוד בכלל הזרועות_מדריכת סימולטור בחה""",338,0.04,0.15
הדרכה ופיקוד בכלל הזרועות_מדריכת חיל התקשוב,290,0.03,0.13
אשכול תפקידי מקצועות המחשב_חיילת מקצועות התקשוב,270,0.03,0.12
אשכול תפקידי רפואה_חובשת קדמית,224,0.02,0.1
אשכול תפקידי מבצעים ומודיעין_עובדת חדר מבצעים,232,0.02,0.1
אשכול תפקידי מבצעים ומודיעין_רכזת ביטחון מידע,228,0.02,0.1
מסלול ייעודי לקצונה_קצינת תקשוב מערכתי,230,0.02,0.1
אשכול תפקידי פקידות וסיוע_חיילת במשרד הביטחון,229,0.02,0.1
הדרכה ופיקוד בכלל הזרועות_מדריכת קרב מגע,172,0.02,0.08
הדרכה ופיקוד בכלל הזרועות_מדריכת סימולטור בחיל,178,0.02,0.08
אשכול תפקידי פקידות וסיוע_שרטטת גרפיקאית,191,0.02,0.08
אשכול תפקידי חינוך הוראה והדרכה_אשכול תפקידי חונכות,165,0.02,0.07
אשכול אבחון כוח אדם_המערך הפסיכוטכני,159,0.02,0.07
אשכול תפקידי ארגון ומנהלה_מנהלה תעופה וסביבת,157,0.02,0.07
תפקידי לחימה_באיזו מידה תרצי לשרת,164,0.02,0.07
הדרכה ופיקוד בכלל הזרועות_מדריכת אימונים קרביי,134,0.01,0.06
הדרכה ופיקוד בכלל הזרועות_מפקדת כיתת טירונים,137,0.01,0.06
אשכול תפקידי רפואה_פרמדיקית,112,0.01,0.05
הדרכה ופיקוד בכלל הזרועות_מדריכת erp,109,0.01,0.05
אשכול אבחון כוח אדם_מאבחנת מדעי התנהגות,122,0.01,0.05
"הדרכה ופיקוד בכלל הזרועות_מדריכת יח""ש",121,0.01,0.05
מסלול ייעודי לקצונה_קצינת תקשוב קרבי (קש,117,0.01,0.05
הדרכה ופיקוד בכלל הזרועות_מדריכת הגנה אווירית,85,0.01,0.04
אשכול תפקידי מבצעים ומודיעין_בקרית שליטה ימית,86,0.01,0.04
תפקידי לחימה_לוחמת ימית,81,0.01,0.04
"אשכול דוברות וקישור_מש""קית קישור לכוחות",84,0.01,0.04
"אשכול מקצועות טכניים טכנולוגיים_מפעילת קש""ב טקטי",96,0.01,0.04
הדרכה ופיקוד בכלל הזרועות_מדריכת פיקוד העורף,72,0.01,0.03
אשכול תפקידי חינוך הוראה והדרכה_מורה חיילת,62,0.01,0.03
"אשכול תפקידי שיטור_חיילת משטרה (שח""ם)",66,0.01,0.03
אשכול תפקידי רפואה_סייעת רופא שיניים,58,0.01,0.03
מסלול ייעודי לקצונה_קצינה בחיל הטכנולוגי,59,0.01,0.03
אשכול תפקידי רפואה_מדריכת חיל הרפואה,69,0.01,0.03
"הדרכה ופיקוד בכלל הזרועות_מדריכת שו""ב",60,0.01,0.03
אשכול תפקידי פקידות וסיוע_רשמת משפטית,48,0.01,0.02
"אשכול תפקידי ניהול משאבי אנוש_מש""קית משא""ן סדיר",52,0.01,0.02
אשכול תפקידי רפואה_עובדת מעבדה רפואית,41,0.0,0.02
"אשכול תפקידי רפואה_מש""קית שירותי רפואה",39,0.0,0.02
הדרכה ופיקוד בכלל הזרועות_חונכת מקצועית,38,0.0,0.02
אשכול מקצועות טכניים טכנולוגיים_מנוענית/ימאית,47,0.0,0.02
אשכול מקצועות טכניים טכנולוגיים_המערך הטכני בחיל האו,29,0.0,0.01
"אשכול תפקידי פקידות וסיוע_מש""קית מטה",19,0.0,0.01
