,Null Count,Null Ratio
mpr_code_737,22963,1.0
seif_likuy_group_30,22963,1.0
seif_likuy_group_29,22963,1.0
mpr_code_722,22963,1.0
seif_likuy_group_96,22962,0.9999564516831424
mpr_code_851,22962,0.9999564516831424
mpr_code_132,22962,0.9999564516831424
seif_likuy_group_87,22962,0.9999564516831424
mpr_code_719,22962,0.9999564516831424
mpr_code_776,22962,0.9999564516831424
seif_likuy_group_12,22961,0.9999129033662849
mpr_code_119,22961,0.9999129033662849
mpr_code_963,22961,0.9999129033662849
mpr_code_805,22961,0.9999129033662849
mpr_code_960,22961,0.9999129033662849
mpr_code_156,22961,0.9999129033662849
seif_likuy_group_43,22961,0.9999129033662849
mpr_code_140,22961,0.9999129033662849
seif_likuy_group_74,22960,0.9998693550494273
seif_likuy_group_34,22960,0.9998693550494273
mpr_code_944,22960,0.9998693550494273
mpr_code_969,22960,0.9998693550494273
mpr_code_807,22960,0.9998693550494273
mpr_code_959,22959,0.9998258067325698
mpr_code_158,22959,0.9998258067325698
seif_likuy_group_11,22959,0.9998258067325698
mpr_code_720,22959,0.9998258067325698
seif_likuy_group_17,22959,0.9998258067325698
mpr_code_779,22958,0.9997822584157122
seif_likuy_group_99,22958,0.9997822584157122
mpr_code_730,22958,0.9997822584157122
mpr_code_144,22958,0.9997822584157122
mpr_code_310,22958,0.9997822584157122
seif_likuy_group_82,22958,0.9997822584157122
mpr_code_304,22957,0.9997387100988547
mpr_code_736,22957,0.9997387100988547
mpr_code_873,22957,0.9997387100988547
seif_likuy_group_73,22957,0.9997387100988547
mpr_code_142,22957,0.9997387100988547
mpr_code_721,22955,0.9996516134651395
mpr_code_965,22955,0.9996516134651395
seif_likuy_group_14,22954,0.999608065148282
seif_likuy_group_80,22954,0.999608065148282
mpr_code_768,22954,0.999608065148282
seif_likuy_group_78,22954,0.999608065148282
mpr_code_733,22953,0.9995645168314244
mpr_code_157,22952,0.999520968514567
seif_likuy_group_20,22952,0.999520968514567
seif_likuy_group_77,22951,0.9994774201977094
mpr_code_308,22951,0.9994774201977094
mpr_code_141,22950,0.9994338718808518
seif_likuy_group_18,22949,0.9993903235639943
mpr_code_888,22949,0.9993903235639943
seif_likuy10,22948,0.9993467752471367
mpr_code_855,22947,0.9993032269302792
mpr_code_967,22947,0.9993032269302792
mpr_code_118,22947,0.9993032269302792
mpr_code_309,22947,0.9993032269302792
mpr_code_732,22947,0.9993032269302792
mpr_code_145,22945,0.9992161302965641
mpr_code_804,22944,0.9991725819797065
seif_likuy_group_61,22944,0.9991725819797065
mpr_code_961,22943,0.9991290336628489
seif_likuy_group_89,22941,0.9990419370291338
seif_likuy_group_69,22941,0.9990419370291338
mpr_code_717,22941,0.9990419370291338
mpr_code_780,22939,0.9989548403954187
seif_likuy_group_72,22938,0.9989112920785611
mpr_code_966,22937,0.9988677437617036
mpr_code_808,22935,0.9987806471279885
seif_likuy_group_81,22935,0.9987806471279885
mpr_code_968,22935,0.9987806471279885
seif_likuy_group_70,22934,0.9987370988111309
mpr_code_811,22934,0.9987370988111309
seif_likuy_group_44,22933,0.9986935504942734
mpr_code_718,22933,0.9986935504942734
seif_likuy_group_10,22931,0.9986064538605582
mpr_code_342,22931,0.9986064538605582
mpr_code_130,22931,0.9986064538605582
seif_likuy_group_45,22929,0.9985193572268432
seif_likuy09,22928,0.9984758089099857
seif_likuy_group_31,22928,0.9984758089099857
mpr_code_134,22926,0.9983887122762706
mpr_code_949,22926,0.9983887122762706
mpr_code_854,22924,0.9983016156425554
seif_likuy_group_58,22920,0.9981274223751252
mpr_code_743,22920,0.9981274223751252
mpr_code_131,22918,0.9980403257414101
mpr_code_123,22918,0.9980403257414101
mpr_code_724,22916,0.997953229107695
mpr_code_758,22912,0.9977790358402647
seif_likuy_group_75,22912,0.9977790358402647
seif_likuy_group_33,22911,0.9977354875234072
seif_likuy_group_28,22905,0.9974741976222619
mpr_code_739,22903,0.9973871009885468
seif_likuy_group_15,22902,0.9973435526716893
seif_likuy_group_19,22896,0.9970822627705439
seif_likuy_group_22,22896,0.9970822627705439
mpr_code_159,22893,0.9969516178199712
mpr_code_657,22891,0.9968645211862561
seif_likuy_group_88,22888,0.9967338762356834
mpr_code_750,22888,0.9967338762356834
seif_likuy_group_71,22879,0.9963419413839655
mpr_code_761,22872,0.9960371031659626
seif_likuy08,22871,0.9959935548491051
seif_likuy_group_25,22868,0.9958629098985324
mpr_code_774,22866,0.9957758132648173
seif_likuy_group_86,22865,0.9957322649479597
seif_likuy_group_62,22862,0.995601619997387
mpr_code_853,22860,0.995514523363672
seif_likuy_group_6,22858,0.9954274267299569
mpr_code_874,22856,0.9953403300962418
mpr_code_818,22854,0.9952532334625267
mpr_code_857,22849,0.9950354918782389
mpr_code_734,22849,0.9950354918782389
mpr_code_128,22846,0.9949048469276662
seif_likuy_group_60,22843,0.9947742019770935
mpr_code_762,22840,0.994643557026521
mpr_code_728,22828,0.9941209772242303
mpr_code_740,22826,0.9940338805905152
mpr_code_305,22815,0.9935548491050821
mpr_code_738,22815,0.9935548491050821
seif_likuy_group_26,22802,0.9929887209859339
seif_likuy_group_16,22799,0.9928580760353612
mpr_code_114,22798,0.9928145277185036
mpr_code_813,22780,0.9920306580150677
mpr_code_138,22776,0.9918564647476376
seif_likuy_group_76,22772,0.9916822714802073
mpr_code_801,22770,0.9915951748464922
mpr_code_729,22764,0.9913338849453469
mpr_code_747,22759,0.9911161433610591
seif_likuy_group_42,22757,0.991029046727344
seif_likuy_group_83,22748,0.990637111875626
seif_likuy07,22743,0.9904193702913382
seif_likuy_group_47,22716,0.9892435657361843
seif_likuy_group_7,22705,0.9887645342507512
mpr_code_307,22702,0.9886338893001786
seif_likuy_group_13,22700,0.9885467926664634
mpr_code_122,22697,0.9884161477158908
seif_likuy_group_36,22693,0.9882419544484605
seif_likuy_group_32,22680,0.9876758263293124
mpr_code_302,22676,0.9875016330618822
mpr_code_124,22667,0.9871096982101641
seif_likuy_group_5,22665,0.987022601576449
seif_likuy_group_53,22662,0.9868919566258764
mpr_code_731,22566,0.9827113182075513
mpr_code_741,22544,0.9817532552366851
seif_likuy_group_90,22528,0.9810564821669643
seif_likuy_group_55,22527,0.9810129338501067
mpr_code_775,22515,0.980490354047816
seif_likuy_group_4,22482,0.9790532595915168
kahas,22477,0.978835518007229
seif_likuy_group_84,22463,0.9782258415712233
mpr_code_749,22463,0.9782258415712233
mpr_code_816,22448,0.9775726168183599
seif_likuy06,22431,0.9768322954317815
mpr_code_766,22429,0.9767451987980664
mpr_code_153,22389,0.9750032661237643
mpr_code_771,22384,0.9747855245394765
seif_likuy_group_46,22311,0.9716064974088752
mpr_code_110,22297,0.9709968209728694
mpr_code_129,22294,0.9708661760222967
seif_likuy_group_21,22155,0.9648129599790968
seif_likuy_group_9,22148,0.9645081217610939
mpr_code_940,22113,0.9629839306710796
mpr_code_726,21856,0.9517920132386883
seif_likuy_group_59,21761,0.9476549231372208
dapar_hastzurani,21733,0.9464355702652093
seif_likuy_group_8,21704,0.9451726690763402
seif_likuy05,21690,0.9445629926403345
seif_likuy_group_2,21634,0.9421242868963114
mpr_code_889,21474,0.9351565561991029
seif_likuy_group_41,21409,0.932325915603362
mpr_code_814,21293,0.9272743108478857
mpr_code_303,21256,0.9256630231241563
mpr_code_748,20972,0.9132953011366111
seif_likuy_group_38,20971,0.9132517528197536
mpr_code_765,20932,0.9115533684623089
mpr_code_735,20748,0.9035404781605191
seif_likuy_group_48,20614,0.8977050037016069
mpr_code_803,20423,0.8893872751818143
seif_likuy_group_1,20180,0.8788050341854288
seif_likuy04,20026,0.8720985933893655
mpr_code_703,19613,0.854113138527196
mpr_code_702,19251,0.8383486478247616
mpr_code_744,19145,0.8337325262378609
seif_likuy_group_27,18848,0.8207986761311675
seif_likuy_group_3,18709,0.8147454600879676
mpr_code_704,16737,0.7288681792448722
seif_likuy03,16707,0.7275617297391456
seif_likuy_group_68,12454,0.5423507381439707
seif_likuy02,11040,0.48077341810739016
seif_likuy01,4199,0.18285938248486697
dapar_haskamuti,1228,0.05347733310107564
dapar_amilulit,1228,0.05347733310107564
dapar_horaot,1228,0.05347733310107564
mpr_code_706,171,0.0074467621826416405
mpr_code_725,165,0.00718547228149632
mpr_code_723,157,0.0068370857466358926
mpr_code_727,154,0.006706440796063232
mpr_code_710,144,0.006270957627487698
mpr_code_701,131,0.005704829508339503
mpr_code_301,120,0.005225798022906415
math_5_ration,21,0.0009145146540086226
comp_5_ration,21,0.0009145146540086226
napa_code,21,0.0009145146540086226
city_code,21,0.0009145146540086226
yeshuv_code,21,0.0009145146540086226
city_sotzio,21,0.0009145146540086226
sotzio,10,0.00043548316857553457
dapar,1,4.354831685755346e-05
mpr_code_0,0,0.0
mprofesscode04,0,0.0
units06,0,0.0
mprofesscode06,0,0.0
units05,0,0.0
mprofesscode05,0,0.0
units04,0,0.0
mprofesscode03,0,0.0
units03,0,0.0
units07,0,0.0
units02,0,0.0
mprofesscode02,0,0.0
units01,0,0.0
mprofesscode07,0,0.0
units09,0,0.0
mprofesscode08,0,0.0
units08,0,0.0
mprofesscode09,0,0.0
yehidot_physics,0,0.0
mprofesscode10,0,0.0
units10,0,0.0
mprofesscode11,0,0.0
units11,0,0.0
mprofesscode12,0,0.0
units12,0,0.0
mprofesscode13,0,0.0
units13,0,0.0
mprofesscode14,0,0.0
mprofesscode01,0,0.0
yehidot_math,0,0.0
yehidot_chemistry,0,0.0
mea_svivat_irgun,0,0.0
profil,0,0.0
seif_likuy_total,0,0.0
seif_likuy_sum_severity,0,0.0
seif_likuy_max_severity,0,0.0
shnol,0,0.0
dapar_atzuranit,0,0.0
heb_dibur,0,0.0
mea_svivat_sade,0,0.0
mea_svivat_adraha,0,0.0
mea_svivat_tipul,0,0.0
mea_svivat_ahzaka,0,0.0
mea_svivat_afaala,0,0.0
mea_svivat_ibud,0,0.0
yehidot_english,0,0.0
mea_madad_keshev_mitmasheh,0,0.0
mea_madad_keshev_selectivi,0,0.0
mea_madad_pikud,0,0.0
mea_madad_avodat_zevet,0,0.0
mea_madad_hashkaa,0,0.0
mea_misgeret,0,0.0
mea_bagrut,0,0.0
weight,0,0.0
height,0,0.0
bmi,0,0.0
yehidot_computers,0,0.0
mprofesscode15,0,0.0
units14,0,0.0
units16,0,0.0
units15,0,0.0
mprofesscode16,0,0.0
