,attribute,count_high,count_low,mean_high,mean_low,std_high,std_low,min_high,min_low,25%_high,25%_low,50%_high,50%_low,75%_high,75%_low,max_high,max_low,ks_statistic,p_value,smd,smd_global,mean_difference,mean_difference_global
30,mea_madad_keshev_selectivi,2270.0,2270.0,3.0,3.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1.0,,,0.0,0.0
24,mea_svivat_afaala,2270.0,2270.0,3.64,3.64,0.78,0.78,1.0,1.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,0.0,1.0,-0.0,0.3,-0.0,0.24
31,mea_madad_pikud,2270.0,2270.0,3.03,3.03,0.74,0.75,0.0,0.0,3.0,3.0,3.0,3.0,4.0,4.0,5.0,5.0,0.0,1.0,-0.0,-0.17,-0.0,-0.13
25,mea_svivat_irgun,2270.0,2270.0,3.73,3.75,0.76,0.74,1.0,1.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,0.01,1.0,-0.03,0.22,-0.02,0.17
33,mea_misgeret,2270.0,2270.0,3.73,3.72,0.55,0.54,0.0,0.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,0.01,1.0,0.03,0.03,0.01,0.02
32,mea_svivat_sade,2270.0,2270.0,3.75,3.74,0.68,0.67,0.0,0.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,0.01,1.0,0.01,-0.2,0.01,-0.13
11,yehidot_chemistry,2270.0,2270.0,0.89,0.93,1.93,1.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,5.0,0.01,1.0,-0.02,0.07,-0.04,0.12
34,city_sotzio,2270.0,2270.0,6.87,6.83,1.71,1.73,0.0,0.0,6.0,6.0,7.0,7.0,8.0,8.0,10.0,10.0,0.01,1.0,0.02,-0.05,0.04,-0.1
20,mea_madad_keshev_mitmasheh,2270.0,2270.0,3.78,3.76,1.0,1.0,0.0,0.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,0.01,1.0,0.02,0.22,0.02,0.23
27,mea_madad_avodat_zevet,2270.0,2270.0,3.69,3.68,0.61,0.6,0.0,0.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,0.01,1.0,0.02,-0.14,0.01,-0.08
23,mea_svivat_tipul,2270.0,2270.0,3.46,3.48,0.67,0.67,0.0,0.0,3.0,3.0,3.0,3.0,4.0,4.0,5.0,5.0,0.01,1.0,-0.02,-0.11,-0.02,-0.08
21,mea_svivat_ahzaka,2270.0,2270.0,3.66,3.69,1.07,1.07,1.0,1.0,3.0,3.0,3.0,4.0,5.0,5.0,5.0,5.0,0.01,1.0,-0.03,0.13,-0.03,0.14
12,yehidot_english,2270.0,2270.0,4.85,4.87,0.5,0.45,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,10.0,10.0,0.01,1.0,-0.05,0.19,-0.02,0.12
29,mea_svivat_adraha,2270.0,2270.0,3.27,3.28,0.7,0.69,0.0,0.0,3.0,3.0,3.0,3.0,4.0,4.0,5.0,5.0,0.01,0.99,-0.02,-0.12,-0.02,-0.08
6,seif_likuy_total,2270.0,2270.0,2.88,2.92,1.4,1.43,1.0,1.0,2.0,2.0,3.0,3.0,4.0,4.0,9.0,10.0,0.01,0.98,-0.03,0.15,-0.04,0.2
14,yehidot_computers,2270.0,2270.0,2.28,2.41,3.81,3.87,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,15.0,15.0,0.02,0.91,-0.03,0.84,-0.13,2.08
28,mea_bagrut,2270.0,2270.0,3.48,3.46,0.59,0.57,0.0,0.0,3.0,3.0,3.0,3.0,4.0,4.0,5.0,5.0,0.02,0.85,0.04,-0.03,0.02,-0.02
2,weight,2270.0,2270.0,58.85,58.63,11.4,11.2,34.0,35.0,51.0,51.0,57.0,57.0,64.0,63.0,116.0,129.0,0.02,0.83,0.02,-0.08,0.21,-0.88
7,bagrut_max_units,2270.0,2270.0,6.61,6.75,2.41,2.45,0.0,0.0,5.0,5.0,5.0,5.0,10.0,10.0,15.0,15.0,0.02,0.49,-0.06,0.37,-0.13,0.79
16,dapar_horaot,2270.0,2270.0,20.73,20.95,3.36,3.19,6.0,6.0,19.0,19.0,21.0,22.0,23.0,23.0,25.0,25.0,0.03,0.47,-0.07,0.25,-0.23,0.9
17,dapar_amilulit,2270.0,2270.0,23.21,23.4,3.92,3.79,5.0,6.0,21.0,21.0,24.0,24.0,26.0,26.0,30.0,30.0,0.03,0.45,-0.05,0.16,-0.2,0.69
35,sotzio,2270.0,2270.0,7.34,7.35,1.75,1.74,1.0,0.0,6.0,6.0,7.0,7.0,9.0,9.0,10.0,10.0,0.03,0.45,-0.01,-0.04,-0.02,-0.07
9,bagrut_total,2270.0,2270.0,9.97,10.04,0.9,0.82,1.0,1.0,10.0,10.0,10.0,10.0,10.0,10.0,14.0,14.0,0.03,0.33,-0.09,0.16,-0.08,0.14
22,mea_madad_hashkaa,2270.0,2270.0,3.74,3.72,0.58,0.59,0.0,0.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,0.03,0.33,0.05,-0.07,0.03,-0.04
10,yehidot_physics,2270.0,2270.0,1.5,1.66,2.31,2.41,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,10.0,10.0,0.03,0.28,-0.07,0.51,-0.16,0.95
36,math_5_ration,2270.0,2270.0,0.33,0.33,0.1,0.1,0.0,0.0,0.29,0.29,0.33,0.33,0.36,0.38,1.0,1.0,0.03,0.23,-0.03,0.07,-0.0,0.01
1,height,2270.0,2270.0,162.3,162.56,6.48,6.43,144.0,144.0,158.0,158.0,162.0,162.0,167.0,167.0,187.0,190.0,0.03,0.23,-0.04,-0.03,-0.26,-0.18
0,bmi,2270.0,2270.0,22.31,22.16,3.98,3.86,14.15,14.88,19.61,19.53,21.5,21.36,24.03,23.95,43.56,44.99,0.03,0.23,0.04,-0.07,0.15,-0.28
3,profil,2270.0,2270.0,81.48,80.67,16.06,15.97,25.0,25.0,64.0,64.0,82.0,82.0,97.0,97.0,97.0,97.0,0.03,0.19,0.05,-0.19,0.81,-2.98
5,seif_likuy_sum_severity,2270.0,2270.0,4.72,4.95,5.68,5.91,0.0,0.0,1.0,1.0,3.0,3.0,6.0,7.0,44.5,76.0,0.03,0.18,-0.04,0.13,-0.23,0.74
4,seif_likuy_max_severity,2270.0,2270.0,2.92,3.08,3.8,4.2,0.0,0.0,1.0,1.0,2.0,2.0,4.0,4.0,27.5,74.0,0.03,0.16,-0.04,0.08,-0.16,0.36
19,dapar_atzuranit,2270.0,2270.0,25.21,25.43,3.48,3.33,9.0,11.0,23.0,24.0,26.0,26.0,28.0,28.0,30.0,30.0,0.04,0.1,-0.06,0.22,-0.22,0.84
37,comp_5_ration,2270.0,2270.0,0.11,0.11,0.07,0.06,0.0,0.0,0.07,0.08,0.11,0.11,0.13,0.13,1.0,1.0,0.04,0.1,-0.03,0.24,-0.0,0.02
26,mea_svivat_ibud,2270.0,2270.0,3.59,3.65,0.8,0.78,0.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,0.04,0.07,-0.07,0.18,-0.05,0.14
18,dapar_haskamuti,2270.0,2270.0,15.16,15.45,5.62,5.42,1.0,2.0,11.0,11.0,15.0,15.0,20.0,20.0,25.0,25.0,0.04,0.06,-0.05,0.27,-0.3,1.49
15,dapar,2270.0,2270.0,65.97,66.94,15.23,14.71,30.0,30.0,50.0,60.0,70.0,70.0,80.0,80.0,90.0,90.0,0.04,0.04,-0.06,0.27,-0.97,4.15
13,yehidot_math,2270.0,2270.0,4.37,4.46,0.83,0.75,0.0,0.0,4.0,4.0,5.0,5.0,5.0,5.0,10.0,5.0,0.05,0.01,-0.11,0.44,-0.09,0.38
8,bagrut_sum_units,2270.0,2270.0,30.79,31.34,4.68,4.45,0.0,0.0,29.0,29.0,30.0,30.0,35.0,35.0,55.0,53.0,0.06,0.0,-0.12,0.41,-0.55,1.91
