,Feature,Coefficient
5,yehidot_math,0.3235350817337736
33,napa_code_4.0,0.2682642543537188
6,yehidot_computers,0.18438021289493053
37,napa_code_8.0,0.15384116960388142
8,mea_svivat_afaala,0.13897656791319354
36,napa_code_7.0,0.1286433493566739
38,napa_code_9.0,0.1214385432488976
16,napa_code_13.0,0.049418923811939706
17,napa_code_14.0,0.03962774453787126
15,napa_code_12.0,0.02701689046169605
20,napa_code_17.0,0.01837792567695333
23,napa_code_2.0,0.015650373368280887
28,napa_code_24.0,0.009338051074623205
30,napa_code_26.0,0.0049827153518959555
2,weight,0.003538640177816337
13,napa_code_10.0,0.0033529769949613743
3,dapar,-0.0010657063489348864
21,napa_code_18.0,-0.001342223214509378
31,napa_code_28.0,-0.0013501884673625423
35,napa_code_6.0,-0.0026751249664424014
27,napa_code_23.0,-0.002712152025236671
29,napa_code_25.0,-0.0029399544919728685
0,bmi,-0.00730380835198264
18,napa_code_15.0,-0.009217834275949074
4,profil,-0.010346941540313525
1,height,-0.01219720492833317
26,napa_code_22.0,-0.01308061439982649
12,napa_code_1.0,-0.0320127413949228
10,sotzio,-0.036681148635076904
19,napa_code_16.0,-0.043281726626319385
22,napa_code_19.0,-0.0546235088974314
9,city_sotzio,-0.055421053374232504
24,napa_code_20.0,-0.06069360755054379
25,napa_code_21.0,-0.06450425264301124
11,napa_code_0.0,-0.09970238820671626
32,napa_code_3.0,-0.10069728160142866
34,napa_code_5.0,-0.11421256738288356
7,mea_svivat_ibud,-0.12506162660247
14,napa_code_11.0,-0.23609582415522862
