max_job,total_students,mean_votes,ratio
אשכול תפקידי מבצעים ומודיעין_אשכול תפקידי חיל האו,11539,0.14,0.45
הדרכה ופיקוד בכלל הזרועות_אשכול אימון גופני,6263,0.07,0.24
תפקידי לחימה_באיזו מידה תרצי לשרת,4076,0.05,0.16
"הדרכה ופיקוד בכלל הזרועות_מדריכת יח""ש",3660,0.04,0.14
"הדרכה ופיקוד בכלל הזרועות_מדריכת סימולטור בחה""",3247,0.04,0.13
אשכול תפקידי מקצועות המחשב_אשכול מקצועות המחשב,3445,0.04,0.13
הדרכה ופיקוד בכלל הזרועות_מפקדת כיתת טירונים,3205,0.04,0.12
אשכול תפקידי חינוך הוראה והדרכה_אשכול תפקידי חונכות,2896,0.03,0.11
הדרכה ופיקוד בכלל הזרועות_מדריכת קרב מגע,2488,0.03,0.1
אשכול תפקידי רפואה_חובשת קדמית,2502,0.03,0.1
אשכול תפקידי פקידות וסיוע_חיילת במשרד הביטחון,2457,0.03,0.09
הדרכה ופיקוד בכלל הזרועות_מדריכת סימולטור בחיל,2432,0.03,0.09
הדרכה ופיקוד בכלל הזרועות_מדריכת אימונים קרביי,2283,0.03,0.09
אשכול תפקידי מבצעים ומודיעין_עובדת חדר מבצעים,1922,0.02,0.07
אשכול תפקידי ארגון ומנהלה_מנהלה תעופה וסביבת,1525,0.02,0.06
אשכול תפקידי מבצעים ומודיעין_רכזת ביטחון מידע,1234,0.01,0.05
אשכול תפקידי פקידות וסיוע_שרטטת גרפיקאית,1295,0.02,0.05
תפקידי לחימה_לוחמת ימית,1381,0.02,0.05
אשכול תפקידי רפואה_פרמדיקית,1398,0.02,0.05
הדרכה ופיקוד בכלל הזרועות_מדריכת פיקוד העורף,1287,0.02,0.05
אשכול תפקידי שיטור_חיילת בשירות בתי הסו,912,0.01,0.04
"אשכול תפקידי שיטור_חיילת משטרה (שח""ם)",1111,0.01,0.04
אשכול אבחון כוח אדם_מאבחנת מדעי התנהגות,917,0.01,0.04
אשכול תפקידי מקצועות המחשב_חיילת מקצועות המחשוב,927,0.01,0.04
הדרכה ופיקוד בכלל הזרועות_מדריכת הגנה אווירית,1100,0.01,0.04
הדרכה ופיקוד בכלל הזרועות_מדריכת חיל התקשוב,914,0.01,0.04
אשכול תפקידי שיטור_סיירת משמר הגבול (מג,1164,0.01,0.04
אשכול אבחון כוח אדם_המערך הפסיכוטכני,1054,0.01,0.04
אשכול תפקידי חינוך הוראה והדרכה_מורה חיילת,784,0.01,0.03
אשכול תפקידי רפואה_מדריכת חיל הרפואה,721,0.01,0.03
מסלול ייעודי לקצונה_קצינת תקשוב קרבי (קש,767,0.01,0.03
"אשכול תפקידי ניהול משאבי אנוש_מש""קית משא""ן סדיר",892,0.01,0.03
"אשכול דוברות וקישור_מש""קית קישור לכוחות",795,0.01,0.03
"אשכול תפקידי פקידות וסיוע_מש""קית מתנדבים",655,0.01,0.03
אשכול תפקידי מבצעים ומודיעין_בקרית שליטה ימית,635,0.01,0.02
אשכול תפקידי מקצועות המחשב_חיילת מקצועות התקשוב,488,0.01,0.02
אשכול תפקידי חינוך הוראה והדרכה_מדריכת נוער בסיס,476,0.01,0.02
