max_job,total_students,mean_votes,ratio
אשכול תפקידי מבצעים ומודיעין_אשכול תפקידי חיל האו,298,0.17,0.54
אשכול תפקידי מקצועות המחשב_אשכול מקצועות המחשב,202,0.11,0.37
הדרכה ופיקוד בכלל הזרועות_אשכול אימון גופני,114,0.06,0.21
"הדרכה ופיקוד בכלל הזרועות_מדריכת סימולטור בחה""",79,0.04,0.14
הדרכה ופיקוד בכלל הזרועות_מדריכת סימולטור בחיל,55,0.03,0.1
אשכול תפקידי רפואה_חובשת קדמית,53,0.03,0.1
תפקידי לחימה_באיזו מידה תרצי לשרת,47,0.03,0.09
הדרכה ופיקוד בכלל הזרועות_מפקדת כיתת טירונים,47,0.03,0.09
הדרכה ופיקוד בכלל הזרועות_מדריכת אימונים קרביי,49,0.03,0.09
אשכול תפקידי רפואה_פרמדיקית,42,0.02,0.08
אשכול תפקידי מבצעים ומודיעין_עובדת חדר מבצעים,46,0.03,0.08
אשכול תפקידי פקידות וסיוע_חיילת במשרד הביטחון,37,0.02,0.07
"הדרכה ופיקוד בכלל הזרועות_מדריכת יח""ש",36,0.02,0.07
הדרכה ופיקוד בכלל הזרועות_מדריכת קרב מגע,32,0.02,0.06
אשכול תפקידי פקידות וסיוע_שרטטת גרפיקאית,31,0.02,0.06
אשכול תפקידי מבצעים ומודיעין_רכזת ביטחון מידע,31,0.02,0.06
אשכול אבחון כוח אדם_המערך הפסיכוטכני,35,0.02,0.06
אשכול תפקידי ארגון ומנהלה_מנהלה תעופה וסביבת,31,0.02,0.06
הדרכה ופיקוד בכלל הזרועות_מדריכת פיקוד העורף,29,0.02,0.05
אשכול תפקידי חינוך הוראה והדרכה_אשכול תפקידי חונכות,26,0.01,0.05
אשכול אבחון כוח אדם_מאבחנת מדעי התנהגות,28,0.02,0.05
מסלול ייעודי לקצונה_קצינת תקשוב מערכתי,28,0.02,0.05
הדרכה ופיקוד בכלל הזרועות_מדריכת חיל התקשוב,26,0.01,0.05
מסלול ייעודי לקצונה_קצינת תקשוב קרבי (קש,22,0.01,0.04
תפקידי לחימה_לוחמת ימית,14,0.01,0.03
"אשכול תפקידי שיטור_חיילת משטרה (שח""ם)",17,0.01,0.03
אשכול תפקידי מקצועות המחשב_חיילת מקצועות המחשוב,19,0.01,0.03
אשכול תפקידי רפואה_מדריכת חיל הרפואה,19,0.01,0.03
"אשכול תפקידי רפואה_מש""קית שירותי רפואה",17,0.01,0.03
"אשכול דוברות וקישור_מש""קית קישור לכוחות",17,0.01,0.03
אשכול תפקידי רפואה_סייעת רופא שיניים,11,0.01,0.02
אשכול תפקידי מבצעים ומודיעין_בקרית שליטה ימית,9,0.01,0.02
הדרכה ופיקוד בכלל הזרועות_מדריכת הגנה אווירית,13,0.01,0.02
הדרכה ופיקוד בכלל הזרועות_מדריכת erp,10,0.01,0.02
אשכול תפקידי שיטור_חיילת בשירות בתי הסו,11,0.01,0.02
אשכול תפקידי חינוך הוראה והדרכה_מדריכת נוער בסיס,9,0.01,0.02
אשכול תפקידי חינוך הוראה והדרכה_מורה חיילת,12,0.01,0.02
"הדרכה ופיקוד בכלל הזרועות_מדריכת שו""ב",11,0.01,0.02
אשכול תפקידי שיטור_סיירת משמר הגבול (מג,4,0.0,0.01
אשכול תפקידי רפואה_עובדת מעבדה רפואית,7,0.0,0.01
"אשכול מקצועות טכניים טכנולוגיים_מפעילת קש""ב טקטי",8,0.0,0.01
אשכול תפקידי שיטור_אבטחת אישים בכירים,5,0.0,0.01
אשכול תפקידי שיטור_לוחמת מעברים,3,0.0,0.01
אשכול מקצועות טכניים טכנולוגיים_מנוענית/ימאית,8,0.0,0.01
אשכול תפקידי שיטור_שוטרת צבאית,8,0.0,0.01
הדרכה ופיקוד בכלל הזרועות_חונכת מקצועית,6,0.0,0.01
הדרכה ופיקוד בכלל הזרועות_מדריכה בחיל הטכנולוג,5,0.0,0.01
תפקידי לחימה_חובלים,7,0.0,0.01
מסלול ייעודי לקצונה_קצינת מנהלה בחיל האו,3,0.0,0.01
מסלול ייעודי לקצונה_קצינה בחיל הטכנולוגי,7,0.0,0.01
אשכול מקצועות טכניים טכנולוגיים_המערך הטכני בחיל הטכ,4,0.0,0.01
אשכול מקצועות טכניים טכנולוגיים_המערך הטכני בחיל האו,4,0.0,0.01
הדרכה ופיקוד בכלל הזרועות_מדריכת חיל הלוגיסטיק,3,0.0,0.01
אשכול תפקידי ארגון ומנהלה_נהגת בטחון שוטף,6,0.0,0.01
אשכול תפקידי ארגון ומנהלה_נהגת רכב קל,4,0.0,0.01
אשכול תפקידי ניהול משאבי אנוש_רכזת מידע,6,0.0,0.01
אשכול תפקידי לוגיסטיקה ואחזקה_אחראית ניהול מלאי,3,0.0,0.01
אשכול תפקידי לוגיסטיקה ואחזקה_טכנאית אופטית,6,0.0,0.01
אשכול תפקידי מבצעים ומודיעין_חוקרת מודיעין ימי,3,0.0,0.01
אשכול תפקידי מבצעים ומודיעין_תצפיתנית בחיל האיסוף,3,0.0,0.01
"אשכול תפקידי ניהול משאבי אנוש_מש""קית משא""ן מילואים",4,0.0,0.01
"אשכול תפקידי ניהול משאבי אנוש_מש""קית משא""ן סדיר",5,0.0,0.01
אשכול תפקידי ארגון ומנהלה_טכנאית אופטית,4,0.0,0.01
"אשכול תפקידי פקידות וסיוע_מש""קית מתנדבים",5,0.0,0.01
אשכול תפקידי פקידות וסיוע_רשמת משפטית,6,0.0,0.01
