max_job,total_students,mean_votes,ratio
אשכול תפקידי מבצעים ומודיעין_אשכול תפקידי חיל האו,1127,0.13,0.56
אשכול תפקידי מקצועות המחשב_אשכול מקצועות המחשב,1080,0.12,0.53
אשכול תפקידי מקצועות המחשב_חיילת מקצועות המחשוב,578,0.07,0.29
אשכול תפקידי מקצועות המחשב_חיילת מקצועות התקשוב,477,0.05,0.24
הדרכה ופיקוד בכלל הזרועות_אשכול אימון גופני,308,0.03,0.15
הדרכה ופיקוד בכלל הזרועות_מדריכת חיל התקשוב,307,0.03,0.15
"הדרכה ופיקוד בכלל הזרועות_מדריכת סימולטור בחה""",288,0.03,0.14
מסלול ייעודי לקצונה_קצינת תקשוב מערכתי,271,0.03,0.13
אשכול תפקידי מבצעים ומודיעין_עובדת חדר מבצעים,215,0.02,0.11
אשכול תפקידי מבצעים ומודיעין_רכזת ביטחון מידע,225,0.03,0.11
אשכול תפקידי פקידות וסיוע_חיילת במשרד הביטחון,184,0.02,0.09
אשכול תפקידי פקידות וסיוע_שרטטת גרפיקאית,191,0.02,0.09
אשכול תפקידי רפואה_חובשת קדמית,160,0.02,0.08
אשכול תפקידי ארגון ומנהלה_מנהלה תעופה וסביבת,152,0.02,0.07
אשכול אבחון כוח אדם_המערך הפסיכוטכני,133,0.02,0.07
הדרכה ופיקוד בכלל הזרועות_מדריכת אימונים קרביי,147,0.02,0.07
הדרכה ופיקוד בכלל הזרועות_מדריכת סימולטור בחיל,139,0.02,0.07
הדרכה ופיקוד בכלל הזרועות_מדריכת קרב מגע,134,0.02,0.07
הדרכה ופיקוד בכלל הזרועות_מפקדת כיתת טירונים,143,0.02,0.07
תפקידי לחימה_באיזו מידה תרצי לשרת,143,0.02,0.07
מסלול ייעודי לקצונה_קצינת תקשוב קרבי (קש,124,0.01,0.06
אשכול תפקידי חינוך הוראה והדרכה_אשכול תפקידי חונכות,117,0.01,0.06
"הדרכה ופיקוד בכלל הזרועות_מדריכת יח""ש",114,0.01,0.06
הדרכה ופיקוד בכלל הזרועות_מדריכת erp,109,0.01,0.05
אשכול אבחון כוח אדם_מאבחנת מדעי התנהגות,92,0.01,0.05
"אשכול מקצועות טכניים טכנולוגיים_מפעילת קש""ב טקטי",92,0.01,0.05
אשכול תפקידי מבצעים ומודיעין_בקרית שליטה ימית,99,0.01,0.05
אשכול תפקידי רפואה_פרמדיקית,84,0.01,0.04
הדרכה ופיקוד בכלל הזרועות_מדריכת הגנה אווירית,74,0.01,0.04
הדרכה ופיקוד בכלל הזרועות_מדריכת פיקוד העורף,85,0.01,0.04
תפקידי לחימה_לוחמת ימית,72,0.01,0.04
"אשכול דוברות וקישור_מש""קית קישור לכוחות",78,0.01,0.04
"הדרכה ופיקוד בכלל הזרועות_מדריכת שו""ב",58,0.01,0.03
מסלול ייעודי לקצונה_קצינה בחיל הטכנולוגי,57,0.01,0.03
"אשכול תפקידי שיטור_חיילת משטרה (שח""ם)",64,0.01,0.03
אשכול תפקידי רפואה_מדריכת חיל הרפואה,67,0.01,0.03
"אשכול תפקידי ניהול משאבי אנוש_מש""קית משא""ן סדיר",70,0.01,0.03
אשכול תפקידי רפואה_עובדת מעבדה רפואית,36,0.0,0.02
