max_job,total_students,mean_votes,ratio
אשכול תפקידי מקצועות המחשב_אשכול מקצועות המחשב,629,0.13,0.56
אשכול תפקידי מבצעים ומודיעין_אשכול תפקידי חיל האו,631,0.13,0.56
אשכול תפקידי מקצועות המחשב_חיילת מקצועות המחשוב,340,0.07,0.3
אשכול תפקידי מקצועות המחשב_חיילת מקצועות התקשוב,240,0.05,0.21
הדרכה ופיקוד בכלל הזרועות_אשכול אימון גופני,184,0.04,0.16
"הדרכה ופיקוד בכלל הזרועות_מדריכת סימולטור בחה""",169,0.03,0.15
הדרכה ופיקוד בכלל הזרועות_מדריכת חיל התקשוב,162,0.03,0.14
מסלול ייעודי לקצונה_קצינת תקשוב מערכתי,147,0.03,0.13
אשכול תפקידי מבצעים ומודיעין_עובדת חדר מבצעים,125,0.03,0.11
אשכול תפקידי מבצעים ומודיעין_רכזת ביטחון מידע,120,0.02,0.11
אשכול תפקידי פקידות וסיוע_חיילת במשרד הביטחון,101,0.02,0.09
אשכול תפקידי פקידות וסיוע_שרטטת גרפיקאית,105,0.02,0.09
הדרכה ופיקוד בכלל הזרועות_מפקדת כיתת טירונים,86,0.02,0.08
הדרכה ופיקוד בכלל הזרועות_מדריכת אימונים קרביי,85,0.02,0.08
אשכול תפקידי ארגון ומנהלה_מנהלה תעופה וסביבת,83,0.02,0.07
אשכול תפקידי רפואה_חובשת קדמית,83,0.02,0.07
אשכול אבחון כוח אדם_המערך הפסיכוטכני,75,0.02,0.07
הדרכה ופיקוד בכלל הזרועות_מדריכת סימולטור בחיל,77,0.02,0.07
תפקידי לחימה_באיזו מידה תרצי לשרת,77,0.02,0.07
מסלול ייעודי לקצונה_קצינת תקשוב קרבי (קש,78,0.02,0.07
הדרכה ופיקוד בכלל הזרועות_מדריכת קרב מגע,83,0.02,0.07
הדרכה ופיקוד בכלל הזרועות_מדריכת erp,55,0.01,0.05
אשכול תפקידי חינוך הוראה והדרכה_אשכול תפקידי חונכות,59,0.01,0.05
אשכול תפקידי רפואה_פרמדיקית,52,0.01,0.05
אשכול תפקידי מבצעים ומודיעין_בקרית שליטה ימית,54,0.01,0.05
"אשכול מקצועות טכניים טכנולוגיים_מפעילת קש""ב טקטי",56,0.01,0.05
הדרכה ופיקוד בכלל הזרועות_מדריכת פיקוד העורף,56,0.01,0.05
"הדרכה ופיקוד בכלל הזרועות_מדריכת יח""ש",59,0.01,0.05
אשכול אבחון כוח אדם_מאבחנת מדעי התנהגות,53,0.01,0.05
"אשכול דוברות וקישור_מש""קית קישור לכוחות",49,0.01,0.04
הדרכה ופיקוד בכלל הזרועות_מדריכת הגנה אווירית,43,0.01,0.04
אשכול תפקידי רפואה_מדריכת חיל הרפואה,40,0.01,0.04
"הדרכה ופיקוד בכלל הזרועות_מדריכת שו""ב",34,0.01,0.03
"אשכול תפקידי ניהול משאבי אנוש_מש""קית משא""ן סדיר",32,0.01,0.03
אשכול תפקידי רפואה_סייעת רופא שיניים,29,0.01,0.03
"אשכול תפקידי שיטור_חיילת משטרה (שח""ם)",30,0.01,0.03
אשכול תפקידי פקידות וסיוע_רשמת משפטית,31,0.01,0.03
תפקידי לחימה_לוחמת ימית,39,0.01,0.03
הדרכה ופיקוד בכלל הזרועות_חונכת מקצועית,22,0.0,0.02
אשכול תפקידי ארגון ומנהלה_טכנאית אופטית,20,0.0,0.02
אשכול תפקידי רפואה_עובדת מעבדה רפואית,20,0.0,0.02
