,Null Count,Null Ratio
seif_likuy_group_99,25908,1.0
seif_likuy_group_96,25908,1.0
seif_likuy_group_87,25908,1.0
seif_likuy_group_29,25908,1.0
seif_likuy_group_34,25907,0.9999614018835881
mpr_code_719,25907,0.9999614018835881
mpr_code_722,25907,0.9999614018835881
mpr_code_737,25907,0.9999614018835881
mpr_code_776,25907,0.9999614018835881
mpr_code_851,25907,0.9999614018835881
mpr_code_132,25907,0.9999614018835881
seif_likuy_group_30,25906,0.9999228037671761
mpr_code_963,25906,0.9999228037671761
mpr_code_140,25906,0.9999228037671761
mpr_code_156,25906,0.9999228037671761
seif_likuy_group_74,25906,0.9999228037671761
seif_likuy_group_43,25906,0.9999228037671761
mpr_code_807,25906,0.9999228037671761
mpr_code_119,25906,0.9999228037671761
mpr_code_805,25906,0.9999228037671761
seif_likuy_group_12,25906,0.9999228037671761
mpr_code_960,25905,0.9998842056507642
seif_likuy_group_17,25905,0.9998842056507642
mpr_code_969,25904,0.9998456075343524
mpr_code_720,25904,0.9998456075343524
mpr_code_959,25904,0.9998456075343524
mpr_code_158,25903,0.9998070094179404
seif_likuy_group_11,25903,0.9998070094179404
mpr_code_730,25902,0.9997684113015285
seif_likuy_group_82,25902,0.9997684113015285
seif_likuy_group_80,25902,0.9997684113015285
seif_likuy_group_77,25902,0.9997684113015285
mpr_code_779,25902,0.9997684113015285
seif_likuy_group_73,25902,0.9997684113015285
mpr_code_873,25902,0.9997684113015285
mpr_code_944,25902,0.9997684113015285
mpr_code_965,25901,0.9997298131851166
seif_likuy_group_14,25900,0.9996912150687046
mpr_code_144,25900,0.9996912150687046
mpr_code_736,25899,0.9996526169522927
mpr_code_768,25899,0.9996526169522927
mpr_code_304,25899,0.9996526169522927
mpr_code_142,25898,0.9996140188358809
seif_likuy_group_20,25897,0.9995754207194689
seif_likuy_group_18,25897,0.9995754207194689
mpr_code_733,25897,0.9995754207194689
seif_likuy_group_78,25897,0.9995754207194689
mpr_code_157,25897,0.9995754207194689
mpr_code_310,25896,0.999536822603057
mpr_code_308,25896,0.999536822603057
seif_likuy10,25895,0.999498224486645
mpr_code_721,25893,0.9994210282538212
seif_likuy_group_61,25893,0.9994210282538212
mpr_code_967,25893,0.9994210282538212
mpr_code_855,25892,0.9993824301374092
mpr_code_309,25892,0.9993824301374092
mpr_code_141,25890,0.9993052339045855
mpr_code_118,25890,0.9993052339045855
seif_likuy_group_89,25889,0.9992666357881735
mpr_code_732,25889,0.9992666357881735
mpr_code_804,25887,0.9991894395553497
seif_likuy_group_72,25886,0.9991508414389377
seif_likuy_group_31,25885,0.9991122433225259
seif_likuy_group_69,25884,0.999073645206114
mpr_code_888,25884,0.999073645206114
mpr_code_968,25883,0.999035047089702
seif_likuy09,25883,0.999035047089702
mpr_code_717,25883,0.999035047089702
seif_likuy_group_44,25882,0.9989964489732901
mpr_code_145,25882,0.9989964489732901
seif_likuy_group_70,25879,0.9988806546240544
mpr_code_718,25879,0.9988806546240544
mpr_code_961,25875,0.9987262621584067
seif_likuy_group_45,25874,0.9986876640419947
seif_likuy_group_10,25873,0.9986490659255828
mpr_code_808,25871,0.998571869692759
mpr_code_854,25870,0.9985332715763471
seif_likuy_group_81,25870,0.9985332715763471
mpr_code_811,25868,0.9984560753435232
seif_likuy_group_33,25868,0.9984560753435232
mpr_code_134,25867,0.9984174772271113
mpr_code_966,25867,0.9984174772271113
seif_likuy_group_58,25863,0.9982630847614636
mpr_code_342,25862,0.9982244866450517
mpr_code_780,25860,0.9981472904122278
mpr_code_743,25857,0.9980314960629921
mpr_code_758,25853,0.9978771035973445
seif_likuy_group_15,25852,0.9978385054809326
mpr_code_724,25851,0.9977999073645206
seif_likuy_group_75,25851,0.9977999073645206
mpr_code_131,25848,0.9976841130152848
seif_likuy_group_22,25847,0.997645514898873
seif_likuy08,25844,0.9975297205496372
seif_likuy_group_28,25844,0.9975297205496372
mpr_code_130,25844,0.9975297205496372
seif_likuy_group_19,25839,0.9973367299675776
seif_likuy_group_6,25838,0.9972981318511657
mpr_code_949,25838,0.9972981318511657
seif_likuy_group_88,25836,0.9972209356183418
