,attribute,count_high,count_low,mean_high,mean_low,std_high,std_low,min_high,min_low,25%_high,25%_low,50%_high,50%_low,75%_high,75%_low,max_high,max_low,ks_statistic,p_value,smd,smd_global,mean_difference,mean_difference_global
30,mea_madad_keshev_selectivi,1533.0,1533.0,3.0,3.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1.0,,,0.0,0.0
29,mea_svivat_adraha,1533.0,1533.0,3.26,3.27,0.69,0.69,0.0,0.0,3.0,3.0,3.0,3.0,4.0,4.0,5.0,5.0,0.01,1.0,-0.01,-0.01,-0.01,-0.0
11,yehidot_chemistry,1533.0,1533.0,0.85,0.83,1.88,1.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,5.0,0.0,1.0,0.01,0.11,0.01,0.19
32,mea_svivat_sade,1533.0,1533.0,3.78,3.78,0.58,0.6,2.0,1.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,0.01,1.0,0.02,-0.11,0.01,-0.07
6,seif_likuy_total,1533.0,1533.0,2.79,2.8,1.32,1.31,1.0,1.0,2.0,2.0,3.0,3.0,4.0,4.0,9.0,8.0,0.01,1.0,-0.0,0.14,-0.01,0.19
23,mea_svivat_tipul,1533.0,1533.0,3.44,3.43,0.69,0.67,0.0,0.0,3.0,3.0,3.0,3.0,4.0,4.0,5.0,5.0,0.01,1.0,0.01,-0.08,0.01,-0.06
1,height,1533.0,1533.0,162.36,162.38,6.43,6.45,144.0,144.0,158.0,158.0,162.0,162.0,167.0,167.0,187.0,187.0,0.01,1.0,-0.0,0.01,-0.02,0.04
14,yehidot_computers,1533.0,1533.0,2.66,2.76,4.04,4.13,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,15.0,15.0,0.01,1.0,-0.02,0.92,-0.09,2.15
25,mea_svivat_irgun,1533.0,1533.0,3.72,3.72,0.75,0.75,1.0,1.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,0.01,1.0,0.0,0.31,0.0,0.27
4,seif_likuy_max_severity,1533.0,1533.0,2.52,2.6,3.11,3.31,0.0,0.0,1.0,1.0,2.0,2.0,4.0,4.0,22.0,22.0,0.01,1.0,-0.02,0.07,-0.08,0.24
28,mea_bagrut,1533.0,1533.0,3.46,3.44,0.58,0.58,0.0,0.0,3.0,3.0,3.0,3.0,4.0,4.0,5.0,5.0,0.01,1.0,0.03,0.01,0.02,0.01
27,mea_madad_avodat_zevet,1533.0,1533.0,3.66,3.68,0.62,0.61,1.0,0.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,0.01,1.0,-0.02,-0.09,-0.01,-0.06
7,bagrut_max_units,1533.0,1533.0,6.77,6.86,2.46,2.47,0.0,4.0,5.0,5.0,5.0,5.0,10.0,10.0,15.0,15.0,0.01,1.0,-0.04,0.38,-0.09,0.8
12,yehidot_english,1533.0,1533.0,4.86,4.89,0.5,0.42,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,10.0,0.01,1.0,-0.07,0.31,-0.03,0.2
24,mea_svivat_afaala,1533.0,1533.0,3.72,3.75,0.67,0.69,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,0.02,0.99,-0.04,0.58,-0.03,0.57
3,profil,1533.0,1533.0,83.83,83.56,13.31,13.21,64.0,64.0,72.0,72.0,82.0,82.0,97.0,97.0,97.0,97.0,0.02,0.99,0.02,-0.19,0.28,-2.52
31,mea_madad_pikud,1533.0,1533.0,3.0,3.01,0.75,0.72,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,0.02,0.98,-0.0,-0.11,-0.0,-0.08
2,weight,1533.0,1533.0,58.97,59.01,10.35,10.43,40.0,39.0,52.0,52.0,57.0,57.0,64.0,65.0,102.0,105.0,0.02,0.98,-0.0,-0.05,-0.05,-0.54
5,seif_likuy_sum_severity,1533.0,1533.0,4.03,4.05,4.57,4.56,0.0,0.0,1.0,1.0,3.0,3.0,6.0,5.0,32.0,29.0,0.02,0.96,-0.0,0.12,-0.01,0.55
16,dapar_horaot,1533.0,1533.0,21.02,21.09,3.19,3.03,6.0,7.0,19.0,19.0,22.0,22.0,23.0,23.0,25.0,25.0,0.02,0.93,-0.02,0.47,-0.08,2.06
20,mea_madad_keshev_mitmasheh,1533.0,1533.0,3.76,3.73,1.04,1.01,1.0,1.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,0.02,0.89,0.02,0.26,0.02,0.3
21,mea_svivat_ahzaka,1533.0,1533.0,3.7,3.74,1.08,1.07,1.0,1.0,3.0,3.0,4.0,4.0,5.0,5.0,5.0,5.0,0.02,0.85,-0.04,0.29,-0.04,0.32
33,mea_misgeret,1533.0,1533.0,3.72,3.68,0.55,0.57,0.0,0.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,0.02,0.85,0.06,0.09,0.04,0.05
13,yehidot_math,1533.0,1533.0,4.42,4.47,0.79,0.74,0.0,0.0,4.0,4.0,5.0,5.0,5.0,5.0,10.0,10.0,0.02,0.85,-0.07,0.58,-0.05,0.51
10,yehidot_physics,1533.0,1533.0,1.77,1.9,2.46,2.51,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,12.0,10.0,0.02,0.79,-0.05,0.66,-0.12,1.16
22,mea_madad_hashkaa,1533.0,1533.0,3.74,3.71,0.57,0.61,0.0,0.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,0.02,0.76,0.04,-0.0,0.03,-0.0
9,bagrut_total,1533.0,1533.0,9.99,10.07,0.9,0.75,1.0,2.0,10.0,10.0,10.0,10.0,10.0,10.0,13.0,14.0,0.02,0.76,-0.1,0.22,-0.08,0.21
0,bmi,1533.0,1533.0,22.35,22.35,3.55,3.51,16.9,16.97,19.74,19.72,21.6,21.71,24.09,24.17,34.95,35.3,0.03,0.67,-0.0,-0.06,-0.0,-0.22
26,mea_svivat_ibud,1533.0,1533.0,3.61,3.64,0.82,0.82,2.0,1.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,0.03,0.64,-0.05,0.41,-0.04,0.4
34,city_sotzio,1533.0,1533.0,6.81,6.87,1.71,1.78,2.0,0.0,6.0,6.0,7.0,7.0,8.0,8.0,10.0,10.0,0.03,0.58,-0.04,-0.04,-0.06,-0.08
17,dapar_amilulit,1533.0,1533.0,23.3,23.53,3.84,3.75,5.0,6.0,21.0,21.0,24.0,24.0,26.0,26.0,30.0,30.0,0.03,0.58,-0.06,0.34,-0.23,1.72
35,sotzio,1533.0,1533.0,7.29,7.37,1.7,1.72,2.0,2.0,6.0,6.0,7.0,8.0,9.0,9.0,10.0,10.0,0.03,0.44,-0.05,0.0,-0.09,0.01
36,math_5_ration,1533.0,1533.0,0.33,0.33,0.1,0.1,0.0,0.0,0.28,0.28,0.33,0.33,0.36,0.38,1.0,1.0,0.03,0.39,-0.05,0.07,-0.0,0.01
19,dapar_atzuranit,1533.0,1533.0,25.47,25.67,3.3,3.24,10.0,9.0,24.0,24.0,26.0,26.0,28.0,28.0,30.0,30.0,0.04,0.3,-0.06,0.44,-0.2,2.04
15,dapar,1533.0,1533.0,66.8,67.73,15.1,14.75,30.0,30.0,60.0,60.0,70.0,70.0,80.0,80.0,90.0,90.0,0.04,0.3,-0.06,0.47,-0.93,7.9
37,comp_5_ration,1533.0,1533.0,0.11,0.11,0.07,0.07,0.0,0.0,0.07,0.08,0.11,0.11,0.13,0.13,1.0,1.0,0.04,0.19,-0.07,0.22,-0.0,0.01
18,dapar_haskamuti,1533.0,1533.0,15.35,15.69,5.62,5.55,3.0,1.0,11.0,11.0,15.0,15.0,20.0,20.0,25.0,25.0,0.04,0.18,-0.06,0.41,-0.34,2.31
8,bagrut_sum_units,1533.0,1533.0,31.12,31.57,4.7,4.38,0.0,5.0,29.0,29.0,30.0,30.0,35.0,35.0,48.0,46.0,0.04,0.12,-0.1,0.52,-0.45,2.49
