,Feature,Coefficient
5,yehidot_math,0.5293603162155828
8,mea_svivat_afaala,0.5136414951360834
33,napa_code_4.0,0.19244200292273791
6,yehidot_computers,0.15417739616964188
37,napa_code_8.0,0.10921521979228284
36,napa_code_7.0,0.1030978948148689
15,napa_code_12.0,0.04540073158432252
23,napa_code_2.0,0.04443532143021137
2,weight,0.03349968417240943
19,napa_code_16.0,0.029644537527701412
20,napa_code_17.0,0.015443823619889996
38,napa_code_9.0,0.006997484823484054
21,napa_code_18.0,-0.0005233748535030162
31,napa_code_28.0,-0.0014255076645213608
30,napa_code_26.0,-0.0016098912842867573
12,napa_code_1.0,-0.0019343393028918928
3,dapar,-0.004942602273691211
27,napa_code_23.0,-0.005407373282264607
17,napa_code_14.0,-0.006264625866460045
29,napa_code_25.0,-0.0070952838441569535
18,napa_code_15.0,-0.0071212813975094465
28,napa_code_24.0,-0.008222286267955532
26,napa_code_22.0,-0.014405393922773386
4,profil,-0.014694456413155456
16,napa_code_13.0,-0.0202380852104579
1,height,-0.023992342899729277
22,napa_code_19.0,-0.026349871035005804
35,napa_code_6.0,-0.03583992970363446
9,city_sotzio,-0.0364464221106855
25,napa_code_21.0,-0.04616009502970307
24,napa_code_20.0,-0.04776940511013564
10,sotzio,-0.04930202059155005
11,napa_code_0.0,-0.05248166022788569
34,napa_code_5.0,-0.059450360249622185
14,napa_code_11.0,-0.06050135393209767
13,napa_code_10.0,-0.07096025817625479
32,napa_code_3.0,-0.07626298868702043
0,bmi,-0.08894938766657229
7,mea_svivat_ibud,-0.17083035284577747
