max_job,total_students,mean_votes,ratio
אשכול תפקידי מבצעים ומודיעין_אשכול תפקידי חיל האו,9604,0.16,0.59
הדרכה ופיקוד בכלל הזרועות_אשכול אימון גופני,3854,0.07,0.24
אשכול תפקידי מקצועות המחשב_אשכול מקצועות המחשב,3674,0.06,0.23
"הדרכה ופיקוד בכלל הזרועות_מדריכת סימולטור בחה""",3197,0.05,0.2
"הדרכה ופיקוד בכלל הזרועות_מדריכת יח""ש",2869,0.05,0.18
הדרכה ופיקוד בכלל הזרועות_מדריכת סימולטור בחיל,2275,0.04,0.14
אשכול תפקידי רפואה_חובשת קדמית,2052,0.03,0.13
תפקידי לחימה_באיזו מידה תרצי לשרת,2038,0.03,0.13
אשכול תפקידי חינוך הוראה והדרכה_אשכול תפקידי חונכות,2178,0.04,0.13
הדרכה ופיקוד בכלל הזרועות_מפקדת כיתת טירונים,1902,0.03,0.12
אשכול תפקידי מבצעים ומודיעין_עובדת חדר מבצעים,1496,0.03,0.09
הדרכה ופיקוד בכלל הזרועות_מדריכת קרב מגע,1546,0.03,0.09
הדרכה ופיקוד בכלל הזרועות_מדריכת אימונים קרביי,1545,0.03,0.09
אשכול תפקידי רפואה_פרמדיקית,1412,0.02,0.09
אשכול אבחון כוח אדם_המערך הפסיכוטכני,1131,0.02,0.07
אשכול תפקידי פקידות וסיוע_שרטטת גרפיקאית,846,0.01,0.05
אשכול תפקידי פקידות וסיוע_חיילת במשרד הביטחון,781,0.01,0.05
אשכול אבחון כוח אדם_מאבחנת מדעי התנהגות,808,0.01,0.05
הדרכה ופיקוד בכלל הזרועות_מדריכת פיקוד העורף,779,0.01,0.05
מסלול ייעודי לקצונה_קצינת תקשוב קרבי (קש,769,0.01,0.05
הדרכה ופיקוד בכלל הזרועות_מדריכת הגנה אווירית,886,0.02,0.05
תפקידי לחימה_לוחמת ימית,854,0.01,0.05
אשכול תפקידי ארגון ומנהלה_מנהלה תעופה וסביבת,741,0.01,0.05
אשכול תפקידי רפואה_מדריכת חיל הרפואה,575,0.01,0.04
מסלול ייעודי לקצונה_קצינת תקשוב מערכתי,605,0.01,0.04
הדרכה ופיקוד בכלל הזרועות_מדריכת חיל התקשוב,664,0.01,0.04
"אשכול דוברות וקישור_מש""קית קישור לכוחות",696,0.01,0.04
אשכול תפקידי מקצועות המחשב_חיילת מקצועות המחשוב,650,0.01,0.04
אשכול תפקידי מבצעים ומודיעין_בקרית שליטה ימית,441,0.01,0.03
אשכול תפקידי חינוך הוראה והדרכה_מורה חיילת,486,0.01,0.03
"הדרכה ופיקוד בכלל הזרועות_מדריכת שו""ב",428,0.01,0.03
אשכול תפקידי מבצעים ומודיעין_רכזת ביטחון מידע,558,0.01,0.03
אשכול מקצועות טכניים טכנולוגיים_מנוענית/ימאית,317,0.01,0.02
הדרכה ופיקוד בכלל הזרועות_מדריכת erp,258,0.0,0.02
"אשכול מקצועות טכניים טכנולוגיים_מפעילת קש""ב טקטי",281,0.0,0.02
"אשכול תפקידי ניהול משאבי אנוש_מש""קית משא""ן סדיר",359,0.01,0.02
אשכול תפקידי מקצועות המחשב_חיילת מקצועות התקשוב,368,0.01,0.02
"אשכול תפקידי שיטור_חיילת משטרה (שח""ם)",354,0.01,0.02
תפקידי לחימה_חובלים,289,0.0,0.02
"אשכול תפקידי פקידות וסיוע_מש""קית מתנדבים",170,0.0,0.01
אשכול מקצועות טכניים טכנולוגיים_המערך הטכני בחיל הטכ,90,0.0,0.01
אשכול תפקידי שיטור_חיילת בשירות בתי הסו,151,0.0,0.01
אשכול תפקידי שיטור_סיירת משמר הגבול (מג,100,0.0,0.01
אשכול תפקידי שיטור_אבטחת אישים בכירים,167,0.0,0.01
אשכול תפקידי רפואה_עובדת מעבדה רפואית,142,0.0,0.01
אשכול תפקידי רפואה_סייעת רופא שיניים,180,0.0,0.01
"אשכול תפקידי רפואה_מש""קית שירותי רפואה",224,0.0,0.01
אשכול תפקידי שיטור_שוטרת צבאית,125,0.0,0.01
אשכול תפקידי פקידות וסיוע_רשמת משפטית,201,0.0,0.01
הדרכה ופיקוד בכלל הזרועות_חונכת מקצועית,224,0.0,0.01
אשכול תפקידי פקידות וסיוע_פקידה,88,0.0,0.01
אשכול תפקידי חינוך הוראה והדרכה_מדריכת נוער בסיס,231,0.0,0.01
אשכול תפקידי מבצעים ומודיעין_תצפיתנית בחיל האיסוף,125,0.0,0.01
אשכול תפקידי ניהול משאבי אנוש_רכזת מידע,129,0.0,0.01
מסלול ייעודי לקצונה_קצינה בחיל הטכנולוגי,150,0.0,0.01
אשכול תפקידי שיטור_לוחמת מעברים,112,0.0,0.01
"אשכול תפקידי ניהול משאבי אנוש_מש""קית משא""ן מילואים",110,0.0,0.01
מסלול ייעודי לקצונה_קצינת שלישות בחיל מש,8,0.0,0.0
"מסלול ייעודי לקצונה_קצינת לוגיסטיקה (""חץ",2,0.0,0.0
