max_job,total_students,mean_votes,ratio
אשכול תפקידי מבצעים ומודיעין_אשכול תפקידי חיל האו,1416,0.16,0.52
הדרכה ופיקוד בכלל הזרועות_אשכול אימון גופני,717,0.08,0.26
"הדרכה ופיקוד בכלל הזרועות_מדריכת יח""ש",575,0.06,0.21
אשכול תפקידי חינוך הוראה והדרכה_אשכול תפקידי חונכות,431,0.05,0.16
תפקידי לחימה_באיזו מידה תרצי לשרת,422,0.05,0.16
"הדרכה ופיקוד בכלל הזרועות_מדריכת סימולטור בחה""",411,0.05,0.15
הדרכה ופיקוד בכלל הזרועות_מפקדת כיתת טירונים,388,0.04,0.14
אשכול תפקידי רפואה_חובשת קדמית,348,0.04,0.13
הדרכה ופיקוד בכלל הזרועות_מדריכת סימולטור בחיל,318,0.04,0.12
הדרכה ופיקוד בכלל הזרועות_מדריכת אימונים קרביי,292,0.03,0.11
הדרכה ופיקוד בכלל הזרועות_מדריכת קרב מגע,280,0.03,0.1
אשכול תפקידי מבצעים ומודיעין_עובדת חדר מבצעים,251,0.03,0.09
אשכול תפקידי רפואה_פרמדיקית,209,0.02,0.08
הדרכה ופיקוד בכלל הזרועות_מדריכת פיקוד העורף,154,0.02,0.06
הדרכה ופיקוד בכלל הזרועות_מדריכת הגנה אווירית,165,0.02,0.06
אשכול אבחון כוח אדם_המערך הפסיכוטכני,134,0.01,0.05
תפקידי לחימה_לוחמת ימית,143,0.02,0.05
אשכול תפקידי ארגון ומנהלה_מנהלה תעופה וסביבת,139,0.02,0.05
אשכול אבחון כוח אדם_מאבחנת מדעי התנהגות,114,0.01,0.04
אשכול תפקידי פקידות וסיוע_חיילת במשרד הביטחון,122,0.01,0.04
אשכול תפקידי חינוך הוראה והדרכה_מורה חיילת,97,0.01,0.04
מסלול ייעודי לקצונה_קצינת תקשוב קרבי (קש,108,0.01,0.04
אשכול תפקידי פקידות וסיוע_שרטטת גרפיקאית,115,0.01,0.04
אשכול תפקידי רפואה_מדריכת חיל הרפואה,103,0.01,0.04
"אשכול דוברות וקישור_מש""קית קישור לכוחות",91,0.01,0.03
הדרכה ופיקוד בכלל הזרועות_מדריכת חיל התקשוב,75,0.01,0.03
אשכול תפקידי מבצעים ומודיעין_רכזת ביטחון מידע,80,0.01,0.03
"אשכול תפקידי ניהול משאבי אנוש_מש""קית משא""ן סדיר",77,0.01,0.03
"אשכול תפקידי שיטור_חיילת משטרה (שח""ם)",75,0.01,0.03
מסלול ייעודי לקצונה_קצינת תקשוב מערכתי,44,0.0,0.02
תפקידי לחימה_חובלים,49,0.01,0.02
אשכול תפקידי חינוך הוראה והדרכה_מדריכת נוער בסיס,43,0.0,0.02
"אשכול תפקידי פקידות וסיוע_מש""קית מתנדבים",44,0.0,0.02
הדרכה ופיקוד בכלל הזרועות_חונכת מקצועית,50,0.01,0.02
אשכול מקצועות טכניים טכנולוגיים_מנוענית/ימאית,50,0.01,0.02
"אשכול תפקידי רפואה_מש""קית שירותי רפואה",53,0.01,0.02
אשכול תפקידי מבצעים ומודיעין_בקרית שליטה ימית,65,0.01,0.02
"הדרכה ופיקוד בכלל הזרועות_מדריכת שו""ב",63,0.01,0.02
אשכול תפקידי ארגון ומנהלה_טכנאית אופטית,15,0.0,0.01
אשכול תפקידי שיטור_שוטרת צבאית,19,0.0,0.01
אשכול תפקידי ארגון ומנהלה_נהגת רכב קל,17,0.0,0.01
אשכול תפקידי שיטור_חיילת בשירות בתי הסו,33,0.0,0.01
אשכול תפקידי שיטור_אבטחת אישים בכירים,38,0.0,0.01
אשכול תפקידי פקידות וסיוע_פקידה,25,0.0,0.01
אשכול תפקידי ניהול משאבי אנוש_רכזת מידע,14,0.0,0.01
הדרכה ופיקוד בכלל הזרועות_מדריכת erp,30,0.0,0.01
אשכול תפקידי רפואה_סייעת רופא שיניים,25,0.0,0.01
אשכול תפקידי רפואה_עובדת מעבדה רפואית,23,0.0,0.01
אשכול תפקידי פקידות וסיוע_רשמת משפטית,31,0.0,0.01
"אשכול מקצועות טכניים טכנולוגיים_מפעילת קש""ב טקטי",38,0.0,0.01
אשכול תפקידי מקצועות המחשב_חיילת מקצועות התקשוב,23,0.0,0.01
אשכול תפקידי לוגיסטיקה ואחזקה_מאחזקת נשק קל,15,0.0,0.01
אשכול תפקידי מבצעים ומודיעין_תצפיתנית בחיל האיסוף,15,0.0,0.01
אשכול תפקידי מקצועות המחשב_חיילת מקצועות המחשוב,26,0.0,0.01
אשכול מקצועות טכניים טכנולוגיים_המערך הטכני בחיל הטכ,16,0.0,0.01
"אשכול תפקידי ניהול משאבי אנוש_מש""קית משא""ן מילואים",25,0.0,0.01
אשכול תפקידי שיטור_סיירת משמר הגבול (מג,28,0.0,0.01
הדרכה ופיקוד בכלל הזרועות_מדריכת חיל הלוגיסטיק,23,0.0,0.01
אשכול תפקידי שיטור_לוחמת מעברים,17,0.0,0.01
הדרכה ופיקוד בכלל הזרועות_מדריכה בחיל הטכנולוג,9,0.0,0.0
"אשכול מקצועות טכניים טכנולוגיים_מיזמי אלקטרוניקה (ח""",1,0.0,0.0
אשכול מקצועות תקשורת_המערך הטכני בחיל האו,5,0.0,0.0
אשכול מקצועות תקשורת_אחראית תקשורת ימית מ,2,0.0,0.0
אשכול מקצועות טכניים טכנולוגיים_המערך הטכני בחיל האו,11,0.0,0.0
אשכול דוברות וקישור_נציגת שירות,3,0.0,0.0
הדרכה ופיקוד בכלל הזרועות_מדריכת שר-אל,11,0.0,0.0
מסלול ייעודי לקצונה_קצינה בחיל הטכנולוגי,8,0.0,0.0
מסלול ייעודי לקצונה_קצינת מנהלה בחיל האו,3,0.0,0.0
אשכול תפקידי שיטור_רכזת מודיעין וחקירות,6,0.0,0.0
מסלול ייעודי לקצונה_קצינת פיקוד העורף,1,0.0,0.0
"אשכול דוברות וקישור_מש""קית דוברות",2,0.0,0.0
אשכול תפקידי ארגון ומנהלה_נהגת בטחון שוטף,9,0.0,0.0
אשכול תפקידי שיטור_אופנוענית שוטרת,1,0.0,0.0
אשכול תפקידי ארגון ומנהלה_בוחנת תחמושת,3,0.0,0.0
אשכול תפקידי ארגון ומנהלה_מערך המנהלה בחיל המו,4,0.0,0.0
אשכול תפקידי חינוך הוראה והדרכה_רכזת חינוך וידיעת הא,3,0.0,0.0
אשכול תפקידי לוגיסטיקה ואחזקה_אחראית ניהול מלאי,6,0.0,0.0
אשכול תפקידי לוגיסטיקה ואחזקה_בודקת ציוד אלקטרוניק,2,0.0,0.0
אשכול תפקידי לוגיסטיקה ואחזקה_בוחנת תחמושת,8,0.0,0.0
אשכול תפקידי לוגיסטיקה ואחזקה_טכנאית אופטית,12,0.0,0.0
אשכול תפקידי לוגיסטיקה ואחזקה_מאחזקת מצנחים,2,0.0,0.0
"אשכול תפקידי לוגיסטיקה ואחזקה_מש""קית לוגיסטיקה",12,0.0,0.0
אשכול תפקידי לוגיסטיקה ואחזקה_משגיחת כשרות,6,0.0,0.0
אשכול תפקידי לוגיסטיקה ואחזקה_נהגת בטחון שוטף,5,0.0,0.0
אשכול תפקידי לוגיסטיקה ואחזקה_ספקית אגף הטכנולוגיה,2,0.0,0.0
אשכול תפקידי מבצעים ומודיעין_בקרית איסוף קרבי (שח,9,0.0,0.0
אשכול תפקידי מבצעים ומודיעין_חוקרת מודיעין ימי,4,0.0,0.0
אשכול תפקידי ארגון ומנהלה_מאבטחת מתקנים,3,0.0,0.0
אשכול תפקידי מקצועות המחשב_אשכול מקצועות המחשב,4,0.0,0.0
"אשכול תפקידי ניהול משאבי אנוש_מש""קית נפגעים",2,0.0,0.0
"אשכול תפקידי ניהול משאבי אנוש_מש""קית תכנון כ""א",1,0.0,0.0
"אשכול תפקידי ניהול משאבי אנוש_רכזת ג""ל (גיוס לצה""ל",5,0.0,0.0
אשכול תפקידי ניהול משאבי אנוש_רכזת תנאי שירות,7,0.0,0.0
"אשכול תפקידי פקידות וסיוע_מש""קית מטה",12,0.0,0.0
אשכול תפקידי פקידות וסיוע_נציגת שירות,8,0.0,0.0
אשכול תפקידי פקידות וסיוע_פקידת לשכה (מזכירה),3,0.0,0.0
אשכול תפקידי רפואה_חובשת,1,0.0,0.0
אשכול תפקידי ניהול משאבי אנוש_רכזת פניות ציבור,7,0.0,0.0
