max_job,total_students,mean_votes,ratio
אשכול תפקידי מבצעים ומודיעין_אשכול תפקידי חיל האו,1655,0.17,0.67
אשכול תפקידי מקצועות המחשב_אשכול מקצועות המחשב,1595,0.16,0.65
"הדרכה ופיקוד בכלל הזרועות_מדריכת סימולטור בחה""",581,0.06,0.24
הדרכה ופיקוד בכלל הזרועות_אשכול אימון גופני,476,0.05,0.19
הדרכה ופיקוד בכלל הזרועות_מדריכת סימולטור בחיל,335,0.03,0.14
"הדרכה ופיקוד בכלל הזרועות_מדריכת יח""ש",289,0.03,0.12
אשכול תפקידי רפואה_חובשת קדמית,271,0.03,0.11
אשכול תפקידי מקצועות המחשב_חיילת מקצועות המחשוב,236,0.02,0.1
אשכול אבחון כוח אדם_המערך הפסיכוטכני,221,0.02,0.09
אשכול תפקידי מבצעים ומודיעין_עובדת חדר מבצעים,210,0.02,0.09
הדרכה ופיקוד בכלל הזרועות_מדריכת חיל התקשוב,203,0.02,0.08
הדרכה ופיקוד בכלל הזרועות_מדריכת קרב מגע,202,0.02,0.08
הדרכה ופיקוד בכלל הזרועות_מפקדת כיתת טירונים,186,0.02,0.08
אשכול תפקידי רפואה_פרמדיקית,201,0.02,0.08
מסלול ייעודי לקצונה_קצינת תקשוב מערכתי,196,0.02,0.08
אשכול תפקידי חינוך הוראה והדרכה_אשכול תפקידי חונכות,194,0.02,0.08
תפקידי לחימה_באיזו מידה תרצי לשרת,198,0.02,0.08
הדרכה ופיקוד בכלל הזרועות_מדריכת אימונים קרביי,163,0.02,0.07
אשכול תפקידי פקידות וסיוע_שרטטת גרפיקאית,140,0.01,0.06
מסלול ייעודי לקצונה_קצינת תקשוב קרבי (קש,146,0.02,0.06
אשכול תפקידי פקידות וסיוע_חיילת במשרד הביטחון,117,0.01,0.05
אשכול אבחון כוח אדם_מאבחנת מדעי התנהגות,125,0.01,0.05
אשכול תפקידי מקצועות המחשב_חיילת מקצועות התקשוב,133,0.01,0.05
תפקידי לחימה_לוחמת ימית,118,0.01,0.05
"אשכול דוברות וקישור_מש""קית קישור לכוחות",108,0.01,0.04
הדרכה ופיקוד בכלל הזרועות_מדריכת הגנה אווירית,109,0.01,0.04
אשכול תפקידי ארגון ומנהלה_מנהלה תעופה וסביבת,92,0.01,0.04
אשכול תפקידי מבצעים ומודיעין_רכזת ביטחון מידע,107,0.01,0.04
הדרכה ופיקוד בכלל הזרועות_מדריכת erp,68,0.01,0.03
"הדרכה ופיקוד בכלל הזרועות_מדריכת שו""ב",67,0.01,0.03
אשכול תפקידי רפואה_מדריכת חיל הרפואה,82,0.01,0.03
אשכול מקצועות טכניים טכנולוגיים_מנוענית/ימאית,42,0.0,0.02
תפקידי לחימה_חובלים,53,0.01,0.02
"אשכול מקצועות טכניים טכנולוגיים_מפעילת קש""ב טקטי",40,0.0,0.02
הדרכה ופיקוד בכלל הזרועות_מדריכת פיקוד העורף,61,0.01,0.02
מסלול ייעודי לקצונה_קצינה בחיל הטכנולוגי,38,0.0,0.02
אשכול תפקידי מבצעים ומודיעין_בקרית שליטה ימית,49,0.01,0.02
אשכול תפקידי פקידות וסיוע_רשמת משפטית,29,0.0,0.01
אשכול תפקידי רפואה_סייעת רופא שיניים,33,0.0,0.01
הדרכה ופיקוד בכלל הזרועות_מדריכה בחיל הטכנולוג,23,0.0,0.01
הדרכה ופיקוד בכלל הזרועות_חונכת מקצועית,25,0.0,0.01
אשכול תפקידי רפואה_עובדת מעבדה רפואית,22,0.0,0.01
אשכול תפקידי שיטור_אבטחת אישים בכירים,15,0.0,0.01
אשכול תפקידי שיטור_שוטרת צבאית,20,0.0,0.01
"אשכול תפקידי שיטור_חיילת משטרה (שח""ם)",36,0.0,0.01
"אשכול תפקידי רפואה_מש""קית שירותי רפואה",16,0.0,0.01
אשכול תפקידי ניהול משאבי אנוש_רכזת מידע,21,0.0,0.01
אשכול תפקידי מבצעים ומודיעין_תצפיתנית בחיל האיסוף,14,0.0,0.01
"אשכול תפקידי ניהול משאבי אנוש_מש""קית משא""ן סדיר",28,0.0,0.01
אשכול תפקידי חינוך הוראה והדרכה_מדריכת נוער בסיס,30,0.0,0.01
אשכול מקצועות טכניים טכנולוגיים_המערך הטכני בחיל הטכ,20,0.0,0.01
אשכול תפקידי חינוך הוראה והדרכה_מורה חיילת,32,0.0,0.01
אשכול דוברות וקישור_נציגת שירות,1,0.0,0.0
"אשכול אבחון כוח אדם_מראיינת גחל""ת",2,0.0,0.0
"אשכול דוברות וקישור_מש""קית דוברות",3,0.0,0.0
מסלול ייעודי לקצונה_קצינת מנהלה בחיל האו,2,0.0,0.0
אשכול מקצועות תקשורת_המערך הטכני בחיל האו,5,0.0,0.0
"מסלול ייעודי לקצונה_קצינת לוגיסטיקה (""חץ",1,0.0,0.0
"אשכול מקצועות טכניים טכנולוגיים_מיזמי אלקטרוניקה (ח""",4,0.0,0.0
הדרכה ופיקוד בכלל הזרועות_מדריכת שר-אל,8,0.0,0.0
אשכול מקצועות תקשורת_אחראית תקשורת ימית מ,3,0.0,0.0
אשכול מקצועות טכניים טכנולוגיים_המערך הטכני בחיל האו,6,0.0,0.0
הדרכה ופיקוד בכלל הזרועות_מדריכת חיל הלוגיסטיק,5,0.0,0.0
אשכול תפקידי שיטור_סיירת משמר הגבול (מג,3,0.0,0.0
אשכול תפקידי שיטור_רכזת מודיעין וחקירות,8,0.0,0.0
אשכול תפקידי לוגיסטיקה ואחזקה_בודקת ציוד אלקטרוניק,3,0.0,0.0
אשכול תפקידי שיטור_לוחמת מעברים,12,0.0,0.0
אשכול תפקידי שיטור_חיילת בשירות בתי הסו,12,0.0,0.0
אשכול תפקידי לוגיסטיקה ואחזקה_טכנאית אופטית,10,0.0,0.0
אשכול תפקידי לוגיסטיקה ואחזקה_מאחזקת נשק קל,5,0.0,0.0
"אשכול תפקידי לוגיסטיקה ואחזקה_מש""קית לוגיסטיקה",10,0.0,0.0
אשכול תפקידי לוגיסטיקה ואחזקה_משגיחת כשרות,2,0.0,0.0
אשכול תפקידי לוגיסטיקה ואחזקה_ספקית אגף הטכנולוגיה,2,0.0,0.0
אשכול תפקידי לוגיסטיקה ואחזקה_אחראית ניהול מלאי,4,0.0,0.0
אשכול תפקידי מבצעים ומודיעין_בקרית איסוף קרבי (שח,5,0.0,0.0
אשכול תפקידי מבצעים ומודיעין_חוקרת מודיעין ימי,6,0.0,0.0
אשכול תפקידי ארגון ומנהלה_נהגת רכב קל,6,0.0,0.0
אשכול תפקידי ארגון ומנהלה_נהגת בטחון שוטף,9,0.0,0.0
"אשכול תפקידי ניהול משאבי אנוש_מש""קית משא""ן מילואים",12,0.0,0.0
"אשכול תפקידי ניהול משאבי אנוש_רכזת ג""ל (גיוס לצה""ל",3,0.0,0.0
אשכול תפקידי ניהול משאבי אנוש_רכזת פניות ציבור,2,0.0,0.0
אשכול תפקידי ארגון ומנהלה_מערך המנהלה בחיל המו,2,0.0,0.0
"אשכול תפקידי פקידות וסיוע_מש""קית מטה",9,0.0,0.0
"אשכול תפקידי פקידות וסיוע_מש""קית מתנדבים",12,0.0,0.0
אשכול תפקידי פקידות וסיוע_נציגת שירות,4,0.0,0.0
אשכול תפקידי פקידות וסיוע_פקידה,3,0.0,0.0
אשכול תפקידי ארגון ומנהלה_מאבטחת מתקנים,4,0.0,0.0
אשכול תפקידי רפואה_חובשת,4,0.0,0.0
אשכול תפקידי ארגון ומנהלה_טכנאית אופטית,8,0.0,0.0
אשכול תפקידי לוגיסטיקה ואחזקה_בוחנת תחמושת,3,0.0,0.0
אשכול תפקידי ארגון ומנהלה_בוחנת תחמושת,2,0.0,0.0
אשכול תפקידי ניהול משאבי אנוש_רכזת תנאי שירות,5,0.0,0.0
