,attribute,count_high,mean_high,std_high,min_high,25%_high,50%_high,75%_high,max_high,count_low,mean_low,std_low,min_low,25%_low,50%_low,75%_low,max_low,ks_statistic,p_value,smd,smd_global,mean_difference,mean_difference_global
30,mea_madad_keshev_selectivi,2467.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,2719.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,0.0,1.0,,,0.0,0.0
1,height,2467.0,162.63,6.22,144.0,158.0,163.0,167.0,190.0,2719.0,162.52,6.15,143.0,158.0,162.0,167.0,184.0,0.01,1.0,0.02,0.0,0.11,0.02
28,mea_bagrut,2467.0,3.58,0.61,0.0,3.0,4.0,4.0,5.0,2719.0,3.57,0.59,2.0,3.0,4.0,4.0,5.0,0.01,0.99,0.02,0.01,0.01,0.0
33,mea_misgeret,2467.0,3.78,0.55,0.0,3.0,4.0,4.0,5.0,2719.0,3.79,0.54,2.0,3.0,4.0,4.0,5.0,0.01,0.99,-0.02,-0.0,-0.01,-0.0
29,mea_svivat_adraha,2467.0,3.43,0.68,0.0,3.0,3.0,4.0,5.0,2719.0,3.46,0.67,0.0,3.0,3.0,4.0,5.0,0.01,0.95,-0.04,-0.03,-0.03,-0.02
34,city_sotzio,2467.0,7.17,1.71,0.0,7.0,7.0,9.0,10.0,2719.0,7.08,1.89,0.0,6.0,7.0,9.0,10.0,0.03,0.28,0.05,-0.02,0.09,-0.04
11,yehidot_chemistry,2467.0,0.93,1.96,0.0,0.0,0.0,0.0,10.0,2719.0,0.77,1.8,0.0,0.0,0.0,0.0,5.0,0.03,0.14,0.09,0.11,0.16,0.21
35,sotzio,2467.0,7.73,1.64,0.0,7.0,8.0,9.0,10.0,2719.0,7.56,1.78,0.0,7.0,8.0,9.0,10.0,0.03,0.11,0.1,0.04,0.17,0.06
32,mea_svivat_sade,2467.0,3.86,0.62,0.0,4.0,4.0,4.0,5.0,2719.0,3.91,0.64,0.0,4.0,4.0,4.0,5.0,0.03,0.09,-0.08,-0.07,-0.05,-0.04
23,mea_svivat_tipul,2467.0,3.57,0.67,0.0,3.0,4.0,4.0,5.0,2719.0,3.63,0.69,0.0,3.0,4.0,4.0,5.0,0.04,0.06,-0.1,-0.07,-0.07,-0.05
22,mea_madad_hashkaa,2467.0,3.8,0.59,0.0,3.0,4.0,4.0,5.0,2719.0,3.86,0.57,2.0,4.0,4.0,4.0,5.0,0.04,0.05,-0.11,-0.07,-0.06,-0.04
31,mea_madad_pikud,2467.0,3.17,0.75,0.0,3.0,3.0,4.0,5.0,2719.0,3.24,0.73,0.0,3.0,3.0,4.0,5.0,0.04,0.01,-0.09,-0.09,-0.07,-0.07
6,seif_likuy_total,2467.0,2.76,1.37,1.0,2.0,3.0,4.0,9.0,2719.0,2.63,1.35,1.0,2.0,2.0,3.0,10.0,0.04,0.01,0.1,0.07,0.13,0.1
27,mea_madad_avodat_zevet,2467.0,3.78,0.6,0.0,3.0,4.0,4.0,5.0,2719.0,3.85,0.55,2.0,4.0,4.0,4.0,5.0,0.04,0.01,-0.12,-0.12,-0.07,-0.06
2,weight,2467.0,58.37,11.21,35.0,51.0,56.0,63.0,166.0,2719.0,59.95,11.42,35.0,52.0,58.0,65.0,124.0,0.07,0.0,-0.14,-0.09,-1.58,-0.98
5,seif_likuy_sum_severity,2467.0,4.44,6.53,0.0,1.0,2.0,6.0,142.33,2719.0,3.96,6.16,0.0,1.0,2.0,5.0,113.0,0.07,0.0,0.08,0.08,0.48,0.48
0,bmi,2467.0,22.04,3.86,14.03,19.57,21.26,23.59,60.97,2719.0,22.67,3.98,14.64,20.08,21.8,24.35,43.93,0.09,0.0,-0.16,-0.1,-0.63,-0.38
4,seif_likuy_max_severity,2467.0,2.79,5.0,0.0,1.0,2.0,4.0,137.33,2719.0,2.59,4.71,0.0,1.0,1.0,3.0,111.0,0.09,0.0,0.04,0.06,0.2,0.26
3,profil,2467.0,82.6,16.34,21.0,72.0,82.0,97.0,97.0,2719.0,84.74,16.74,21.0,72.0,97.0,97.0,97.0,0.09,0.0,-0.13,-0.13,-2.14,-2.14
12,yehidot_english,2467.0,4.94,0.36,0.0,5.0,5.0,5.0,5.0,2719.0,4.81,0.62,0.0,5.0,5.0,5.0,10.0,0.1,0.0,0.24,0.14,0.12,0.07
20,mea_madad_keshev_mitmasheh,2467.0,3.87,0.99,1.0,4.0,4.0,5.0,5.0,2719.0,3.57,1.06,0.0,3.0,4.0,4.0,5.0,0.11,0.0,0.29,0.2,0.3,0.2
21,mea_svivat_ahzaka,2467.0,3.96,1.0,1.0,3.0,4.0,5.0,5.0,2719.0,3.67,1.04,1.0,3.0,4.0,5.0,5.0,0.12,0.0,0.29,0.23,0.29,0.24
9,bagrut_total,2467.0,10.04,0.83,1.0,10.0,10.0,10.0,14.0,2719.0,9.86,1.01,1.0,10.0,10.0,10.0,13.0,0.12,0.0,0.19,0.14,0.18,0.13
17,dapar_amilulit,2467.0,24.89,2.77,10.0,23.0,25.0,27.0,30.0,2719.0,23.93,3.08,11.0,22.0,24.0,26.0,30.0,0.12,0.0,0.33,0.21,0.96,0.61
25,mea_svivat_irgun,2467.0,3.86,0.69,0.0,4.0,4.0,4.0,5.0,2719.0,3.62,0.74,0.0,3.0,4.0,4.0,5.0,0.13,0.0,0.34,0.22,0.24,0.16
