,Feature,Coefficient,abs_Coefficient
14,yehidot_computers,0.25,0.25
13,yehidot_math,0.07,0.07
10,yehidot_physics,0.04,0.04
26,mea_svivat_ibud,0.03,0.03
62,napa_code_7.0,0.02,0.02
49,napa_code_20.0,0.02,0.02
63,napa_code_8.0,0.02,0.02
11,yehidot_chemistry,0.02,0.02
15,dapar,0.01,0.01
44,napa_code_16.0,0.01,0.01
36,napa_code_0.0,0.01,0.01
58,napa_code_3.0,0.01,0.01
3,profil,0.01,0.01
61,napa_code_6.0,0.01,0.01
4,seif_likuy_max_severity,0.01,0.01
31,mea_madad_pikud,0.01,0.01
60,napa_code_5.0,0.01,0.01
29,mea_svivat_adraha,0.01,0.01
12,yehidot_english,0.01,0.01
41,napa_code_13.0,0.01,0.01
24,mea_svivat_afaala,0.01,0.01
59,napa_code_4.0,0.01,0.01
18,dapar_haskamuti,0.01,0.01
20,mea_madad_keshev_mitmasheh,0.01,0.01
27,mea_madad_avodat_zevet,0.01,0.01
22,mea_madad_hashkaa,0.01,0.01
25,mea_svivat_irgun,0.01,0.01
39,napa_code_11.0,0.01,0.01
16,dapar_horaot,0.01,0.01
19,dapar_atzuranit,0.01,0.01
7,bagrut_max_units,0.01,0.01
23,mea_svivat_tipul,0.01,0.01
34,city_sotzio,0.01,0.01
5,seif_likuy_sum_severity,0.01,0.01
35,sotzio,0.01,0.01
8,bagrut_sum_units,0.01,0.01
0,bmi,0.01,0.01
64,napa_code_9.0,0.01,0.01
28,mea_bagrut,0.01,0.01
32,mea_svivat_sade,0.01,0.01
1,height,0.01,0.01
21,mea_svivat_ahzaka,0.01,0.01
42,napa_code_14.0,0.01,0.01
2,weight,0.01,0.01
17,dapar_amilulit,0.01,0.01
38,napa_code_10.0,0.01,0.01
6,seif_likuy_total,0.01,0.01
40,napa_code_12.0,0.01,0.01
33,mea_misgeret,0.01,0.01
9,bagrut_total,0.01,0.01
48,napa_code_2.0,0.01,0.01
37,napa_code_1.0,0.01,0.01
51,napa_code_22.0,0.01,0.01
47,napa_code_19.0,0.01,0.01
50,napa_code_21.0,0.01,0.01
45,napa_code_17.0,0.01,0.01
53,napa_code_24.0,0.0,0.0
54,napa_code_25.0,0.0,0.0
43,napa_code_15.0,0.0,0.0
46,napa_code_18.0,0.0,0.0
57,napa_code_28.0,0.0,0.0
56,napa_code_27.0,0.0,0.0
52,napa_code_23.0,0.0,0.0
30,mea_madad_keshev_selectivi,0.0,0.0
55,napa_code_26.0,0.0,0.0
